Autoroute entrée	Péage entrée	Ville entrée	Autoroute sortie	Péage sortie	Ville sortie	Classe 1	Classe 2	Classe 3	Classe 4	Classe 5
A10	11	ALLAINVILLE	A39	10	BEAUPONT	56,80	88,00	143,40	189,20	32,20
A10	11	ALLAINVILLE	A39	8	BEAUREPAIRE	54,70	84,60	137,80	182,30	30,40
A10	11	ALLAINVILLE	A40	10	BELLEGARDE	66,10	102,50	164,90	219,20	37,60
A10	11	ALLAINVILLE	A6	30	BELLEVILLE SUR SAONE	54,80	84,50	136,40	179,90	30,40
A10	11	ALLAINVILLE	A391	-	BERSAILLIN	53,30	81,50	134,20	176,30	29,60
A10	11	ALLAINVILLE	A36	4.1	BESANCON EST	53,80	84,00	136,60	180,60	30,20
A10	11	ALLAINVILLE	A36	4	BESANCON NORD	53,80	82,90	135,00	177,70	29,80
A10	11	ALLAINVILLE	A36	3	BESANCON OUEST	53,80	82,30	134,50	176,60	29,70
A10	11	ALLAINVILLE	A42	-	BEYNOST	62,60	97,00	155,60	206,40	35,80
A10	11	ALLAINVILLE	A6	23	BIERRE-LES-SEMUR	38,00	57,70	95,80	123,90	20,50
A10	11	ALLAINVILLE	A85	11	BLERE	24,70	40,30	63,10	77,70	15,00
A10	11	ALLAINVILLE	A10	17	BLOIS	14,00	22,80	36,50	46,00	9,00
A10	11	ALLAINVILLE	A40	5	BOURG NORD	55,00	85,00	136,60	180,60	30,80
A10	11	ALLAINVILLE	A40	7	BOURG SUD	56,30	87,30	140,70	185,70	32,20
A10	11	ALLAINVILLE	A71	7	BOURGES	21,40	34,60	52,40	68,40	12,70
A10	11	ALLAINVILLE	A31	9	BULGNEVILLE	48,50	74,50	120,80	159,40	26,60
A10	11	ALLAINVILLE	A6	25	CHALON NORD	47,90	73,90	119,10	156,10	26,30
A10	11	ALLAINVILLE	A6	26	CHALON SUD	47,90	73,90	119,10	156,10	26,30
A10	11	ALLAINVILLE	A4	27	CHALONS - LA VEUVE	47,00	71,30	118,60	151,80	25,60
A10	11	ALLAINVILLE	A26	22	CHARMONT	39,10	59,80	98,60	127,70	21,00
A10	11	ALLAINVILLE	A10	18	CHATEAU-RENAULT	16,00	25,10	41,60	53,60	10,40
A10	11	ALLAINVILLE	A4	20	CHATEAU-THIERRY	55,80	84,10	136,90	179,20	30,70
A10	11	ALLAINVILLE	A31	10	CHATENOIS	49,00	75,20	122,50	161,30	27,20
A10	11	ALLAINVILLE	A5	16	CHATILLON-LABORDE	35,00	53,60	88,30	113,50	18,80
A10	11	ALLAINVILLE	A5	24	CHAUMONT-SEMOUTIERS	41,50	63,60	104,80	136,50	22,50
A10	11	ALLAINVILLE	A39	6	CHOISEY	50,10	77,20	125,80	165,20	27,70
A10	11	ALLAINVILLE	A71	-	CLERMONT	39,90	62,60	98,30	132,60	23,50
A10	11	ALLAINVILLE	A4	29.1	CLERMONT EN ARGONNE	50,50	78,00	127,00	164,50	28,20
A10	11	ALLAINVILLE	A31	11	COLOMBEY-LES-BELLES	51,70	79,10	128,80	170,70	28,30
A10	11	ALLAINVILLE	A71	12.1	COMBRONDE	35,30	55,30	85,90	115,00	20,60
A10	11	ALLAINVILLE	A6	17	COURTENAY	27,40	41,60	69,90	87,70	14,10
A10	11	ALLAINVILLE	A39	-	CRIMOLOIS	48,90	74,90	123,00	160,30	27,20
A10	11	ALLAINVILLE	A79	-	DEUX-CHAISES	31,70	50,60	78,00	104,50	18,80
A10	11	ALLAINVILLE	A311	-	DIJON SUD	48,10	74,30	120,40	157,70	26,40
A10	11	ALLAINVILLE	A31	4	DIJON-ARC SUR TILLE	49,70	76,70	124,20	162,90	27,50
A10	11	ALLAINVILLE	A36	2	DOLE	50,10	77,20	125,80	165,20	27,70
A10	11	ALLAINVILLE	A4	21	DORMANS	53,10	80,50	131,30	170,70	29,40
A10	11	ALLAINVILLE	A89	22	EGLETONS	49,50	77,60	116,50	159,10	29,40
A10	11	ALLAINVILLE	A40	11	ELOISE / ANNECY	67,50	104,90	168,30	224,10	38,60
A10	11	ALLAINVILLE	A4	23	EPERNAY	50,40	76,00	125,20	161,60	27,30
A10	11	ALLAINVILLE	A19	7	ESCRENNES	11,10	17,40	27,50	34,60	5,80
A10	11	ALLAINVILLE	A85	10	ESVRES	25,80	42,10	66,70	83,50	15,80
A10	11	ALLAINVILLE	A40	2	FEILLENS	52,40	81,40	131,90	173,90	29,50
A10	11	ALLAINVILLE	A6	-	FLEURY-EN-BIERE	33,60	51,50	84,80	108,20	17,80
A10	11	ALLAINVILLE	A6	15	FONTAINEBLEAU	31,00	47,10	78,70	99,00	16,20
A10	11	ALLAINVILLE	A19	5	FONTENAY SUR LOING	18,90	30,10	52,70	63,90	10,00
A10	11	ALLAINVILLE	A71	9	FORET DE TRONCAIS	27,60	44,30	66,90	88,30	16,50
A10	11	ALLAINVILLE	A5	17	FORGES	32,60	49,30	81,90	104,80	16,90
A10	11	ALLAINVILLE	A4	32	FRESNES EN WOEVRE	55,50	85,30	138,70	179,60	30,70
A10	11	ALLAINVILLE	A719	-	GANNAT	35,00	55,20	84,90	114,30	20,50
A10	11	ALLAINVILLE	A36	2.1	GENDREY	51,20	79,10	129,30	170,40	28,60
A10	11	ALLAINVILLE	A71	14	GERZAT	36,80	58,30	89,10	118,50	21,70
A10	11	ALLAINVILLE	A10	13.1	GIDY	5,90	9,60	15,60	18,00	3,60
A10	11	ALLAINVILLE	A19	-	GONDREVILLE LA FRANCHE NORD	18,30	27,40	47,80	59,70	9,40
A10	11	ALLAINVILLE	A19	-	GONDREVILLE LA FRANCHE SUD	22,70	34,00	58,40	73,70	12,10
A10	11	ALLAINVILLE	A404	-	GROISSIAT	63,00	97,60	157,70	209,10	36,00
A10	11	ALLAINVILLE	A31	-	GYE	54,00	82,20	133,00	176,20	29,60
A10	11	ALLAINVILLE	A10	12	JANVILLE (ALLAINES)	2,60	4,10	7,00	10,00	1,90
A10	11	ALLAINVILLE	A4	33	JARNY	57,10	88,10	141,40	181,60	31,80
A10	11	ALLAINVILLE	A6	18	JOIGNY	29,10	44,00	73,40	92,60	15,10
A10	11	ALLAINVILLE	A36	6	L'ISLE-SUR-LE-DOUBS	58,10	89,80	145,40	192,40	32,70
A10	11	ALLAINVILLE	A432	-	LA BOISSE	64,10	99,30	159,70	212,00	36,60
A10	11	ALLAINVILLE	A42	5.1	LA BOISSE - MONTLUEL	61,70	95,10	150,70	199,40	35,00
A10	11	ALLAINVILLE	A432	-	LA COTIERE	62,50	96,30	155,00	203,70	35,70
A10	11	ALLAINVILLE	A404	9	LA CROIX-CHALON	61,20	94,90	153,30	203,40	34,80
A10	11	ALLAINVILLE	A71	3	LAMOTTE BEUVRON	12,70	20,90	32,20	41,80	8,00
A10	11	ALLAINVILLE	A31	7	LANGRES NORD	43,60	66,30	107,60	141,40	23,70
A10	11	ALLAINVILLE	A31	6	LANGRES SUD	44,40	67,70	110,30	144,20	24,40
A10	11	ALLAINVILLE	A39	9	LE MIROIR	55,80	86,10	140,30	184,60	31,30
A10	11	ALLAINVILLE	A5	-	LES EPRUNES	36,10	55,70	92,10	119,30	19,70
A10	11	ALLAINVILLE	A6	28	MACON NORD	52,30	80,70	129,90	171,00	29,10
A10	11	ALLAINVILLE	A6	29	MACON SUD	53,20	82,10	132,30	174,20	29,60
A10	11	ALLAINVILLE	A5	22	MAGNANT	38,20	58,20	95,70	124,60	20,50
A10	11	ALLAINVILLE	A89	27	MANZAT	36,70	58,60	89,00	119,00	21,90
A10	11	ALLAINVILLE	A5	18	MAROLLES-SUR-SEINE	32,60	49,30	81,90	104,80	16,90
A10	11	ALLAINVILLE	A10	16	MER	12,20	19,10	30,40	39,60	8,00
A10	11	ALLAINVILLE	A10	15	MEUNG	8,70	13,40	22,50	30,00	5,50
A10	11	ALLAINVILLE	A26	18	MONT CHOISY	44,60	68,50	113,60	146,60	24,60
A10	11	ALLAINVILLE	A31	8	MONTIGNY-LE-ROI	45,30	68,80	112,70	148,20	24,80
A10	11	ALLAINVILLE	A71	10	MONTLUCON	30,00	48,00	72,80	97,30	17,70
A10	11	ALLAINVILLE	A71	11	MONTMARAULT	31,30	50,10	77,20	103,30	18,40
A10	11	ALLAINVILLE	A4	19	MONTREUIL AUX LIONS	58,30	87,50	141,60	182,70	31,90
A10	11	ALLAINVILLE	A6	16	NEMOURS	31,00	47,10	78,70	99,00	16,20
A10	11	ALLAINVILLE	A6	21	NITRY	34,00	51,90	85,80	110,70	18,00
A10	11	ALLAINVILLE	A31	1	NUITS-SAINT-GEORGES	46,40	71,40	116,80	152,60	25,50
A10	11	ALLAINVILLE	A71	2	OLIVET	8,40	14,40	21,30	27,90	5,50
A10	11	ALLAINVILLE	A71	1	ORLEANS CENTRE	7,20	11,80	18,80	25,00	4,70
A10	11	ALLAINVILLE	A10	14	ORLEANS NORD	6,10	10,10	15,70	20,70	3,80
A10	11	ALLAINVILLE	A26	-	ORMES	51,90	78,30	128,00	165,30	27,90
A10	11	ALLAINVILLE	A10	-	PARIS (LA FOLIE BESSIN)	4,00	6,10	9,20	13,40	2,50
A10	11	ALLAINVILLE	A42	7	PEROUGES	60,10	93,00	149,60	197,50	34,00
A10	11	ALLAINVILLE	A42	9	PONT D'AIN	57,60	89,60	145,30	191,40	32,80
A10	11	ALLAINVILLE	A6	-	POUILLY-EN-AUXOIS	41,60	64,00	104,40	136,90	22,50
A10	11	ALLAINVILLE	A4	-	REIMS - TAISSY	50,60	76,50	126,40	163,00	27,40
A10	11	ALLAINVILLE	A4	22	REIMS - TINQUEUX	52,40	79,00	128,70	167,70	28,40
A10	11	ALLAINVILLE	A40	3	REPLONGES	52,40	81,40	131,90	173,90	29,50
A10	11	ALLAINVILLE	A71	13	RIOM	36,60	58,20	88,80	118,30	21,50
A10	11	ALLAINVILLE	A31	8.1	ROBECOURT	47,00	72,30	117,40	154,60	25,90
A10	11	ALLAINVILLE	A85	14	ROMORANTIN	18,60	29,70	45,00	60,30	11,40
A10	11	ALLAINVILLE	A85	12	SAINT AIGNAN SUR CHER	20,90	34,70	54,40	69,90	13,10
A10	11	ALLAINVILLE	A71	8	SAINT AMAND	25,20	40,50	61,20	80,10	14,90
A10	11	ALLAINVILLE	A19	1	SAINT DENIS-LES-SENS	29,70	45,30	75,10	94,70	15,50
A10	11	ALLAINVILLE	A4	28	SAINT ETIENNE AU TEMPLE	46,60	71,70	119,00	154,50	25,80
A10	11	ALLAINVILLE	A40	4	SAINT GENIS	56,90	87,80	140,00	184,30	31,80
A10	11	ALLAINVILLE	A5	15	SAINT GERMAIN-LAXIS	35,00	53,60	88,30	113,50	18,80
A10	11	ALLAINVILLE	A26	17	SAINT GIBRIEN	45,60	69,70	115,30	149,30	25,00
A10	11	ALLAINVILLE	A19	4	SAINT HILAIRE LES ANDRESIS	23,60	35,90	61,30	74,80	12,40
A10	11	ALLAINVILLE	A40	8	SAINT MARTIN-DU-FRESNE	60,90	94,80	151,80	201,70	34,80
A10	11	ALLAINVILLE	A36	-	SAINT MAURICE	62,70	96,90	157,70	209,80	35,80
A10	11	ALLAINVILLE	A5	21	SAINT THIBAULT	35,50	54,40	90,40	116,80	19,20
A10	11	ALLAINVILLE	A4	29	SAINTE MENEHOULD	48,90	75,50	124,80	162,10	27,30
A10	11	ALLAINVILLE	A71	4	SALBRIS	14,60	23,00	37,30	50,40	9,30
A10	11	ALLAINVILLE	A19	3	SAVIGNY SUR CLAIRIS	24,60	36,90	63,10	77,30	12,60
A10	11	ALLAINVILLE	A85	13	SELLES SUR CHER	20,20	32,40	49,90	65,50	12,20
A10	11	ALLAINVILLE	A36	1	SEURRE	47,60	73,50	119,00	156,30	26,20
A10	11	ALLAINVILLE	A39	5	SOIRANS	49,30	75,60	123,90	161,40	27,60
A10	11	ALLAINVILLE	A26	20	SOMMESOUS	42,40	65,10	107,70	139,30	23,10
A10	11	ALLAINVILLE	A89	-	ST GERMAIN LES VERGNES	54,90	86,30	128,10	174,40	32,80
A10	11	ALLAINVILLE	A89	25	ST JULIEN / SANCY	41,50	66,10	100,30	134,20	24,90
A10	11	ALLAINVILLE	A40	9	SYLANS	61,60	95,80	153,40	203,80	35,10
A10	11	ALLAINVILLE	A26	23	THENNELIERES	36,90	56,50	92,00	118,80	20,10
A10	11	ALLAINVILLE	A31	5	TIL CHATEL	46,90	71,10	117,20	154,30	25,70
A10	11	ALLAINVILLE	A5	20	TORVILLIERS	35,00	53,60	88,60	113,80	18,80
A10	11	ALLAINVILLE	A6	27	TOURNUS	49,50	76,40	123,70	161,70	27,50
A10	11	ALLAINVILLE	A10	-	TOURS CENTRE (MONNAIE)	20,90	33,60	52,00	68,60	13,50
A10	11	ALLAINVILLE	A89	21	TULLE EST	52,40	82,20	123,00	165,10	31,00
A10	11	ALLAINVILLE	A89	20	TULLE NORD	53,20	83,60	123,90	170,30	31,40
A10	11	ALLAINVILLE	A6	14	URY	31,80	48,20	80,00	101,20	16,70
A10	11	ALLAINVILLE	A89	24	USSEL EST	44,40	70,70	106,90	144,00	26,30
A10	11	ALLAINVILLE	A89	23	USSEL OUEST	46,60	72,90	110,70	149,80	27,70
A10	11	ALLAINVILLE	A406	-	VAL DE SAONE	59,50	90,30	147,40	194,90	33,10
A10	11	ALLAINVILLE	A26	21	VALLEE DE L'AUBE	40,30	61,90	101,80	131,90	21,80
A10	11	ALLAINVILLE	A26	19	VATRY	43,20	65,80	107,80	140,80	23,30
A10	11	ALLAINVILLE	A85	-	VEIGNE	26,90	44,40	71,70	87,30	16,80
A10	11	ALLAINVILLE	A4	31	VERDUN	55,50	85,30	138,70	179,60	30,70
A10	11	ALLAINVILLE	A71	6	VIERZON EST	17,30	28,00	44,10	57,00	10,80
A10	11	ALLAINVILLE	A71	5	VIERZON NORD	17,00	27,90	42,70	56,80	10,70
A10	11	ALLAINVILLE	A5	23	VILLE SOUS LA FERTE	39,80	61,00	100,80	130,70	21,40
A10	11	ALLAINVILLE	A6	31.1	VILLEFRANCHE NORD	55,80	85,40	139,70	184,00	31,40
A10	11	ALLAINVILLE	A6	-	VILLEFRANCHE-LIMAS	59,80	91,90	148,00	195,70	33,40
A10	11	ALLAINVILLE	A6	31.2	VILLEFRANCHE-VILLE	56,40	87,00	140,50	185,00	31,70
A10	11	ALLAINVILLE	A19	2	VILLENEUVE-DONDAGRE	28,50	43,40	72,40	91,30	14,80
A10	11	ALLAINVILLE	A40	6	VIRIAT	55,10	85,10	137,20	181,60	31,50
A10	11	ALLAINVILLE	A40	-	VIRY	71,80	112,30	179,80	239,00	41,40
A10	11	ALLAINVILLE	A4	30	VOIE SACREE	52,90	81,30	130,70	170,70	29,30
A10	11	ALLAINVILLE	A5	19	VULAINES	32,90	49,30	81,90	104,70	17,00
A10	11	ALLAINVILLE	A89	26	VULCANIA-BROMONT	39,00	61,90	94,30	126,60	23,30
A42	8	AMBERIEU EN BUGEY	A10	11	ALLAINVILLE	59,20	91,00	146,80	194,30	33,40
A42	8	AMBERIEU EN BUGEY	A10	13	ARTENAY	55,10	84,00	135,00	181,10	30,90
A42	8	AMBERIEU EN BUGEY	A19	6	AUXY	41,50	63,90	102,00	136,90	24,30
A42	8	AMBERIEU EN BUGEY	A85	11	BLERE	71,90	110,50	176,60	233,60	41,10
A42	8	AMBERIEU EN BUGEY	A10	17	BLOIS	62,00	94,80	152,10	202,70	35,00
A42	8	AMBERIEU EN BUGEY	A71	7	BOURGES	68,70	105,40	169,00	225,10	39,10
A42	8	AMBERIEU EN BUGEY	A10	18	CHATEAU-RENAULT	64,90	99,00	157,60	211,10	37,00
A42	8	AMBERIEU EN BUGEY	A19	7	ESCRENNES	45,40	70,60	114,10	151,50	26,50
A42	8	AMBERIEU EN BUGEY	A85	10	ESVRES	73,20	112,80	180,30	237,80	41,60
A42	8	AMBERIEU EN BUGEY	A19	5	FONTENAY SUR LOING	37,80	57,40	89,80	122,40	22,10
A42	8	AMBERIEU EN BUGEY	A10	13.1	GIDY	55,50	84,60	135,70	182,00	31,10
A42	8	AMBERIEU EN BUGEY	A19	-	GONDREVILLE LA FRANCHE NORD	39,40	60,20	93,70	126,40	22,60
A42	8	AMBERIEU EN BUGEY	A19	-	GONDREVILLE LA FRANCHE SUD	43,80	66,80	104,30	140,40	25,30
A42	8	AMBERIEU EN BUGEY	A10	12	JANVILLE (ALLAINES)	56,20	85,90	137,50	184,50	31,70
A42	8	AMBERIEU EN BUGEY	A71	3	LAMOTTE BEUVRON	60,70	92,60	148,50	198,60	34,40
A42	8	AMBERIEU EN BUGEY	A10	16	MER	60,60	91,70	146,70	196,10	34,20
A42	8	AMBERIEU EN BUGEY	A10	15	MEUNG	58,50	89,00	141,50	190,20	32,90
A42	8	AMBERIEU EN BUGEY	A71	2	OLIVET	57,30	87,40	140,00	186,60	32,40
A42	8	AMBERIEU EN BUGEY	A71	1	ORLEANS CENTRE	56,60	86,50	138,20	184,20	31,80
A42	8	AMBERIEU EN BUGEY	A10	14	ORLEANS NORD	55,80	85,10	136,20	182,50	31,40
A42	8	AMBERIEU EN BUGEY	A10	-	PARIS (LA FOLIE BESSIN)	64,40	97,10	158,00	210,90	36,50
A42	8	AMBERIEU EN BUGEY	A85	14	ROMORANTIN	66,20	101,70	161,80	216,30	37,30
A42	8	AMBERIEU EN BUGEY	A85	12	SAINT AIGNAN SUR CHER	68,90	106,00	168,50	225,90	38,90
A42	8	AMBERIEU EN BUGEY	A19	4	SAINT HILAIRE LES ANDRESIS	32,90	51,10	80,00	110,40	19,80
A42	8	AMBERIEU EN BUGEY	A71	4	SALBRIS	62,30	95,60	152,80	204,90	35,20
A42	8	AMBERIEU EN BUGEY	A19	3	SAVIGNY SUR CLAIRIS	32,00	49,60	77,30	107,00	19,40
A42	8	AMBERIEU EN BUGEY	A85	13	SELLES SUR CHER	68,00	104,40	165,90	222,00	38,30
A42	8	AMBERIEU EN BUGEY	A10	-	TOURS CENTRE (MONNAIE)	69,50	105,50	167,20	224,20	39,50
A42	8	AMBERIEU EN BUGEY	A85	-	VEIGNE	74,60	115,20	184,40	243,70	42,40
A42	8	AMBERIEU EN BUGEY	A71	6	VIERZON EST	65,20	99,30	160,20	212,90	37,00
A42	8	AMBERIEU EN BUGEY	A71	5	VIERZON NORD	64,50	98,80	159,50	212,40	36,40
A11	20	ANCENIS	A11	20	ANGERS	5,20	8,90	14,40	16,80	3,20
A11	20	ANCENIS	A11	20	NANTES	3,60	6,10	8,40	11,10	2,20
A11	20	ANGERS	A11	20	ANCENIS	5,20	8,90	14,40	16,80	3,20
A11	19	ANGERS	A11	19	BEAUPREAU-SAINT GERMAIN	1,80	3,30	4,70	5,30	1,10
A11	-	ANGERS	A11	-	NANTES	10,30	16,00	24,50	32,90	6,10
A11	18	ANGERS	A11	18	SAINT JEAN DE LINIERES	0,60	0,90	1,20	1,80	0,30
A11	-	ANGERS (CORZE)	A11	1	ABLIS	28,00	42,30	65,80	86,30	16,90
A11	-	ANGERS (CORZE)	A28	18	ALENCON NORD	15,70	24,40	36,40	47,70	9,30
A11	-	ANGERS (CORZE)	A28	19	ALENCON SUD	15,30	23,30	34,20	44,10	9,20
A11	-	ANGERS (CORZE)	A28	23	AUVOURS (LE MANS ZI SUD)	12,80	19,60	27,90	35,10	7,70
A11	-	ANGERS (CORZE)	A85	1	BEAUFORT EN VALLEE	4,10	6,10	8,00	10,80	2,40
A11	-	ANGERS (CORZE)	A28	21	BEAUMONT SUR SARTHE	13,40	20,20	29,50	36,10	8,10
A11	-	ANGERS (CORZE)	A85	5	BOURGUEIL	8,70	12,30	18,80	24,50	5,20
A11	-	ANGERS (CORZE)	A11	4	BROU	18,60	28,90	43,60	55,80	10,90
A11	-	ANGERS (CORZE)	A11	2	CHARTRES EST	25,80	38,30	59,10	75,60	15,00
A11	-	ANGERS (CORZE)	A11	3	CHARTRES-THIVARS	23,90	35,00	53,20	68,60	13,90
A11	-	ANGERS (CORZE)	A28	26	CHATEAU DU LOIR (MONTABON)	16,70	24,80	38,30	47,80	10,00
A11	-	ANGERS (CORZE)	A11	6	CONNERRE	14,00	22,20	32,80	40,20	8,50
A11	-	ANGERS (CORZE)	A28	25	ECOMMOY	14,70	22,20	34,40	41,30	8,90
A11	-	ANGERS (CORZE)	A81	2	EVRON	16,80	24,30	37,30	46,80	9,80
A11	-	ANGERS (CORZE)	A11	3.1	ILLIERS COMBRAY	21,50	31,90	49,70	62,10	12,60
A11	-	ANGERS (CORZE)	A11	5	LA FERTE BERNARD	15,40	23,50	37,00	44,60	9,20
A11	-	ANGERS (CORZE)	A81	3	LAVAL EST	18,80	27,80	42,90	53,40	11,00
A11	-	ANGERS (CORZE)	A81	4	LAVAL OUEST	19,00	30,00	45,70	57,70	11,30
A11	-	ANGERS (CORZE)	A11	8	LE MANS CENTRE UNIVERSITE	10,20	15,40	22,80	28,00	5,90
A11	-	ANGERS (CORZE)	A11	7	LE MANS ZI NORD	10,90	17,40	25,00	30,50	6,40
A11	-	ANGERS (CORZE)	A85	2	LONGUE-JUMELLES	5,10	7,30	10,70	13,80	3,00
A11	-	ANGERS (CORZE)	A28	24	PARIGNE-L'EVEQUE	13,30	20,10	29,50	36,00	8,00
A11	-	ANGERS (CORZE)	A10	-	PARIS (LA FOLIE BESSIN)	32,90	50,40	77,70	99,40	20,10
A11	-	ANGERS (CORZE)	A85	-	RESTIGNE	12,30	17,80	26,30	35,70	7,30
A11	-	ANGERS (CORZE)	A85	3	SAUMUR (VIVY)	6,50	9,70	15,20	19,50	4,00
A11	-	ANGERS (CORZE)	A28	20	SILLE LE GUILLAUME / MAMERS	14,30	21,50	31,70	39,60	8,60
