Gare d'entrée	Gare de sortie	Distance	Catégorie 1	Catégorie 2	Catégorie 3	Catégorie 4	Catégorie 5
AMBERIEU	DOLE	155,99	14,30	22,40	34,50	48,00	8,50
AMBERIEU	FEILLENS	67,11	6,50	10,40	16,40	22,80	4,10
AMBERIEU	FLEURY-EN-BIERE	411,15	40,40	62,70	98,50	132,50	24,40
AMBERIEU	FONTAINEBLEAU	385,72	35,20	55,40	86,30	118,90	21,60
AMBERIEU	FORGES	407,13	36,10	57,00	89,00	122,90	22,00
AMBERIEU	GENDREY	172,57	16,10	24,80	38,50	54,30	9,30
AMBERIEU	GROISSIAT	50,98	6,30	10,30	16,20	22,50	3,90
AMBERIEU	GYE	362,95	32,70	48,00	82,60	113,80	19,50
AMBERIEU	JOIGNY	327,79	29,00	44,80	72,30	99,50	17,70
AMBERIEU	L ISLE-S/LE-DOUBS	248,99	23,10	36,60	56,80	78,80	13,70
AMBERIEU	LA BOISSE	49,84	5,60	7,80	13,40	18,70	3,30
AMBERIEU	LA BOISSE - MONTLUEL	28,31	3,30	4,70	7,30	10,30	1,50
AMBERIEU	LA COTIERE	34,27	3,80	5,90	8,70	12,30	1,90
AMBERIEU	LA CROIX-CHALON	36,38	4,70	7,40	11,70	16,10	2,80
AMBERIEU	LANGRES NORD	254,44	23,10	34,10	59,40	82,00	13,90
AMBERIEU	LANGRES SUD	234,79	21,90	31,80	55,10	75,90	13,10
AMBERIEU	LE MIROIR	70,95	7,20	11,00	17,00	23,60	4,20
AMBERIEU	LES EPRUNES	448,00	39,80	62,60	98,70	135,70	24,30
AMBERIEU	MACON CENTRE	69,84	6,50	10,40	16,40	22,80	4,10
AMBERIEU	MACON NORD	74,69	6,70	11,50	16,90	23,10	4,30
AMBERIEU	MAGNANT	318,61	29,30	43,50	74,10	101,70	18,10
AMBERIEU	MAROLLES-SUR-SEINE	399,61	36,10	57,00	89,00	122,90	22,00
AMBERIEU	MONTIGNY-LE-ROI	274,54	24,40	35,90	64,60	88,30	14,80
AMBERIEU	NEMOURS	382,77	35,20	55,40	86,30	118,90	21,60
AMBERIEU	NITRY	265,49	23,60	37,70	58,30	80,00	14,40
AMBERIEU	NUITS-ST-GEORGES	165,79	14,80	23,90	36,70	50,30	9,10
AMBERIEU	PEROUGES	17,46	1,80	3,00	4,30	6,20	0,90
AMBERIEU	PONT D AIN	7,36	0,90	1,30	2,00	3,10	0,40
AMBERIEU	POUILLY-EN-AUXOIS	191,19	17,10	26,70	41,10	56,50	10,50
AMBERIEU	REPLONGES	63,84	6,50	10,40	16,40	22,80	4,10
AMBERIEU	ROBECOURT	296,50	24,90	38,10	68,20	93,10	15,60
AMBERIEU	SAINT GENIS	53,81	5,10	7,60	12,10	16,80	3,20
AMBERIEU	SAINT MAURICE	288,99	28,10	43,50	69,10	94,80	16,60
AMBERIEU	SAINT THIBAULT	344,84	32,40	48,60	82,30	114,70	19,70
AMBERIEU	SEURRE	166,89	15,40	24,10	37,80	52,90	9,00
AMBERIEU	SOIRANS	158,19	15,40	24,40	37,90	52,40	9,50
AMBERIEU	ST MARTIN-DU-FRESNE	31,09	4,10	6,30	9,90	13,90	2,20
AMBERIEU	ST-DENIS-LES-SENS	369,72	33,50	53,40	82,60	113,80	19,70
AMBERIEU	ST-GERMAIN-LAXIS	431,66	38,50	61,40	95,20	130,90	23,40
AMBERIEU	SYLANS	40,66	5,20	8,00	13,10	18,10	3,00
AMBERIEU	THENNELIERES	348,76	32,80	48,40	82,80	115,70	19,60
AMBERIEU	TIL CHATEL	204,74	19,30	27,40	48,10	66,70	11,30
AMBERIEU	TORVILLIERS	360,92	33,00	48,70	82,30	114,90	19,70
AMBERIEU	TOURNUS	100,19	9,30	14,90	22,10	30,70	5,60
AMBERIEU	URY	394,60	35,20	55,40	86,30	119,70	21,60
AMBERIEU	VAL DE SAONE	74,16	7,50	12,10	19,40	26,50	4,80
AMBERIEU	VILLE SOUS LAFERTE	290,94	27,20	39,70	68,20	94,20	16,20
AMBERIEU	VILLENEUVE-DONDAGRE	356,71	31,90	50,40	79,20	108,30	19,30
AMBERIEU	VIRIAT	32,17	3,90	6,10	8,70	12,30	1,90
AMBERIEU	VULAINES	387,96	34,50	51,50	87,20	120,40	20,70
ARLAY	AMBERIEU	101,49	10,40	16,20	25,60	34,50	6,30
ARLAY	AUXERRE NORD	242,50	22,30	35,20	56,00	76,30	13,30
ARLAY	AUXERRE SUD	230,80	22,30	35,20	56,00	76,30	13,30
ARLAY	AVALLON	186,70	17,20	26,70	43,20	58,50	10,00
ARLAY	BALAN	125,52	11,40	18,20	29,10	38,80	6,90
ARLAY	BAUME-LES-DAMES	130,20	10,40	15,90	24,90	37,30	6,50
ARLAY	BEAUNE NORD	95,05	8,50	13,50	23,20	30,90	5,10
ARLAY	BEAUNE SUD	93,90	8,50	13,50	23,20	30,90	5,10
ARLAY	BEAUPONT	43,70	3,80	5,70	8,90	12,10	2,00
ARLAY	BEAUREPAIRE	15,40	1,40	2,20	3,30	4,70	0,70
ARLAY	BERSAILLIN	14,21	1,30	2,10	3,20	4,40	0,80
ARLAY	BESANCON EST	111,12	8,70	13,20	20,80	31,70	5,90
ARLAY	BESANCON NORD	96,50	7,60	12,10	19,90	27,60	4,90
ARLAY	BESANCON OUEST	87,10	7,00	11,30	18,10	24,90	4,60
ARLAY	BEYNOST	139,68	14,20	22,40	35,30	48,00	8,40
ARLAY	BIERRE-LES-SEMUR	160,80	14,10	22,60	36,70	49,80	8,40
ARLAY	BOURG NORD	73,71	7,30	11,70	18,90	25,10	4,50
ARLAY	BOURG SUD	79,72	7,60	12,20	20,10	26,40	4,70
ARLAY	BULGNEVILLE	209,00	18,50	29,40	46,60	63,00	10,80
ARLAY	CHALON NORD	116,00	11,00	17,60	28,30	37,90	6,50
ARLAY	CHALON SUD	122,20	11,00	17,60	28,30	37,90	6,50
ARLAY	CHATENOIS	219,15	18,60	29,70	48,10	65,60	11,10
ARLAY	CHATILLON-LABORDE	360,35	30,70	48,90	79,60	109,20	18,60
ARLAY	CHAUMONT-SEMOUTIERS	166,28	15,70	24,70	40,50	55,50	9,30
ARLAY	CHOISEY	37,89	3,60	5,50	8,60	11,70	2,00
ARLAY	COLOMBEY-LES-BELLES	247,85	21,00	34,70	55,60	76,00	12,90
ARLAY	COURTENAY	285,23	27,10	42,40	66,70	90,70	15,90
ARLAY	DIJON-ARC S/TILLE	80,41	7,60	12,50	20,50	27,70	4,60
ARLAY	DIJON-CRIMOLOIS	78,30	7,20	11,10	17,20	23,40	4,20
ARLAY	DOLE	54,50	3,80	5,90	8,70	11,80	2,20
ARLAY	FEILLENS	98,62	9,30	14,50	23,30	31,20	5,60
ARLAY	FLEURY-EN-BIERE	351,66	34,70	54,80	86,90	118,60	20,70
ARLAY	FONTAINEBLEAU	326,23	29,70	46,70	75,30	103,10	17,80
ARLAY	FORGES	343,08	29,20	46,30	75,30	103,00	17,50
ARLAY	GENDREY	71,08	5,80	8,40	13,00	19,60	3,30
ARLAY	GROISSIAT	130,75	13,90	22,40	35,90	48,40	8,40
ARLAY	GYE	261,46	22,70	36,50	57,70	79,20	13,40
ARLAY	JOIGNY	268,30	23,50	37,10	61,20	83,50	14,00
ARLAY	L ISLE-S/LE-DOUBS	147,50	12,20	18,50	29,00	42,30	7,20
ARLAY	LA BOISSE	151,33	15,80	24,80	39,50	53,90	9,30
ARLAY	LA BOISSE - MONTLUEL	129,80	13,10	20,40	33,60	44,80	8,00
ARLAY	LA COTIERE	135,76	13,60	21,50	34,80	46,40	8,30
ARLAY	LA CROIX-CHALON	116,15	12,40	19,80	32,00	43,10	7,40
ARLAY	LANGRES NORD	152,95	13,60	22,50	36,10	48,80	8,00
ARLAY	LANGRES SUD	133,30	12,30	19,80	32,10	43,50	7,20
ARLAY	LE MIROIR	30,54	2,80	4,10	6,60	8,40	1,40
ARLAY	LES EPRUNES	383,95	33,60	53,30	85,30	117,30	20,50
ARLAY	MACON CENTRE	101,35	9,30	14,50	23,30	31,20	5,60
ARLAY	MACON NORD	106,20	9,40	15,40	24,10	32,70	6,00
ARLAY	MAGNANT	217,12	20,00	31,80	50,70	69,60	11,90
ARLAY	MAROLLES-SUR-SEINE	335,56	29,20	46,30	75,30	103,00	17,50
ARLAY	MONTIGNY-LE-ROI	173,05	15,00	24,00	39,20	53,10	8,80
ARLAY	NEMOURS	323,28	29,70	46,70	75,30	103,10	17,80
ARLAY	NITRY	206,00	18,60	28,70	47,20	64,30	11,00
ARLAY	NUITS-ST-GEORGES	95,95	8,10	13,00	21,70	29,90	5,00
ARLAY	PEROUGES	118,95	11,40	18,20	29,10	38,80	6,90
ARLAY	PONT D AIN	94,13	9,30	14,80	23,80	31,70	5,60
ARLAY	POUILLY-EN-AUXOIS	131,70	11,70	17,90	29,80	40,20	6,80
ARLAY	REPLONGES	95,35	9,30	14,50	23,30	31,20	5,60
ARLAY	ROBECOURT	195,01	16,80	26,30	43,00	58,50	9,70
ARLAY	SAINT GENIS	85,32	7,80	12,20	20,50	26,10	4,80
ARLAY	SAINT MAURICE	187,50	16,70	25,40	41,60	56,20	9,90
ARLAY	SAINT THIBAULT	243,35	23,10	36,90	58,80	80,60	13,60
ARLAY	SEURRE	65,40	5,50	8,50	13,80	18,40	3,50
ARLAY	SOIRANS	56,70	5,00	7,80	12,60	16,90	2,80
ARLAY	ST MARTIN-DU-FRESNE	110,86	12,10	19,20	30,80	41,80	7,20
ARLAY	ST-DENIS-LES-SENS	309,48	28,30	44,60	71,50	97,80	16,80
ARLAY	ST-GERMAIN-LAXIS	367,61	30,70	48,90	79,60	109,20	18,60
ARLAY	SYLANS	120,43	13,00	20,80	33,70	45,70	7,90
ARLAY	THENNELIERES	247,27	22,90	36,60	59,10	81,30	13,60
ARLAY	TIL CHATEL	103,25	9,50	15,60	25,30	34,00	5,60
ARLAY	TORVILLIERS	259,43	23,20	37,00	59,10	80,70	13,70
ARLAY	TOURNUS	131,70	12,00	19,00	29,60	40,20	7,10
ARLAY	URY	335,11	29,70	46,70	75,30	103,50	17,80
ARLAY	VAL DE SAONE	105,67	10,50	15,70	25,50	34,40	6,20
ARLAY	VILLE SOUS LAFERTE	189,45	17,50	27,60	44,30	61,00	10,50
ARLAY	VILLENEUVE-DONDAGRE	296,47	26,60	42,10	67,80	93,90	15,70
ARLAY	VIRIAT	69,32	6,70	10,70	17,20	22,60	4,10
ARLAY	VULAINES	286,47	24,90	39,50	64,00	88,00	14,80
AUXERRE NORD	AMBERIEU	301,99	27,60	43,20	67,10	91,30	16,80
AUXERRE NORD	ARLAY	242,50	22,30	35,20	56,00	76,30	13,30
AUXERRE NORD	AUXERRE SUD	11,70	1,10	1,80	2,40	3,70	0,60
AUXERRE NORD	AVALLON	55,80	4,40	6,80	10,80	14,60	2,50
AUXERRE NORD	BALAN	326,02	28,90	45,20	70,00	96,50	17,60
AUXERRE NORD	BAUME-LES-DAMES	282,50	25,50	39,40	62,30	86,30	15,30
AUXERRE NORD	BEAUNE NORD	147,45	13,10	20,60	32,20	44,30	8,00
AUXERRE NORD	BEAUNE SUD	153,20	14,10	22,40	34,80	47,20	8,60
AUXERRE NORD	BEAUPONT	286,20	25,90	40,60	64,00	88,50	15,50
AUXERRE NORD	BEAUREPAIRE	257,90	23,20	36,90	58,30	80,70	14,00
AUXERRE NORD	BELLEVILLE S/SAONE	258,90	23,20	36,40	56,60	77,50	14,00
AUXERRE NORD	BERSAILLIN	237,70	21,90	33,80	54,60	75,70	13,10
AUXERRE NORD	BESANCON EST	263,42	22,80	36,20	56,80	78,90	13,70
AUXERRE NORD	BESANCON NORD	248,80	22,40	35,20	55,40	76,10	13,40
AUXERRE NORD	BESANCON OUEST	239,40	22,40	33,90	54,90	76,00	13,30
AUXERRE NORD	BEYNOST	340,18	31,70	49,20	76,10	103,90	18,90
AUXERRE NORD	BIERRE-LES-SEMUR	81,70	6,20	9,30	15,10	20,60	3,80
AUXERRE NORD	BOURG NORD	259,79	23,50	37,30	56,80	78,60	14,10
AUXERRE NORD	BOURG SUD	280,22	25,10	39,40	60,80	82,90	15,40
AUXERRE NORD	BULGNEVILLE	299,04	24,80	39,10	61,00	84,90	14,90
AUXERRE NORD	CHALON NORD	175,30	16,80	25,90	39,60	54,20	10,00
AUXERRE NORD	CHALON SUD	181,50	16,80	25,90	39,60	54,20	10,00
AUXERRE NORD	CHATENOIS	309,19	25,40	39,10	62,60	86,70	15,40
AUXERRE NORD	CHATILLON-LABORDE	122,41	11,60	17,90	28,60	39,70	6,90
AUXERRE NORD	CHAUMONT-SEMOUTIERS	216,66	17,90	28,20	44,80	61,90	10,80
AUXERRE NORD	CHOISEY	204,61	18,60	29,00	46,40	63,50	11,30
AUXERRE NORD	COLOMBEY-LES-BELLES	337,89	28,00	43,80	69,10	95,70	16,70
AUXERRE NORD	COURTENAY	42,73	4,30	6,90	10,90	14,50	2,50
AUXERRE NORD	DIJON SUD	183,10	17,20	26,60	41,00	56,70	10,30
AUXERRE NORD	DIJON-ARC S/TILLE	198,26	18,60	28,60	44,40	61,60	11,10
AUXERRE NORD	DIJON-CRIMOLOIS	230,60	17,60	27,20	43,20	60,10	10,80
AUXERRE NORD	DOLE	206,80	18,60	29,00	46,40	63,50	11,30
AUXERRE NORD	FEILLENS	234,88	21,40	33,50	52,10	71,80	12,60
AUXERRE NORD	FLEURY-EN-BIERE	109,16	11,10	17,40	26,70	37,20	6,90
AUXERRE NORD	FONTAINEBLEAU	83,73	7,30	11,60	18,60	25,20	4,60
AUXERRE NORD	FORGES	105,14	9,00	13,90	22,40	31,00	5,40
AUXERRE NORD	GENDREY	223,38	20,20	31,80	49,40	68,90	12,20
AUXERRE NORD	GROISSIAT	331,25	32,00	50,10	77,90	106,90	19,20
AUXERRE NORD	GYE	351,50	29,70	46,60	73,60	101,30	18,10
AUXERRE NORD	JOIGNY	25,80	2,60	4,10	6,30	8,40	1,50
AUXERRE NORD	L ISLE-S/LE-DOUBS	299,80	27,10	42,30	65,80	91,00	16,10
AUXERRE NORD	LA BOISSE	351,83	32,90	51,80	80,10	109,50	19,90
AUXERRE NORD	LA BOISSE - MONTLUEL	330,30	30,60	47,70	71,40	97,30	18,50
AUXERRE NORD	LA COTIERE	336,26	31,70	48,60	75,40	103,40	18,80
AUXERRE NORD	LA CROIX-CHALON	316,65	30,10	46,90	74,00	103,10	18,30
AUXERRE NORD	LANGRES NORD	242,99	20,00	31,40	48,20	67,10	11,90
AUXERRE NORD	LANGRES SUD	249,64	20,50	32,60	50,60	70,00	12,30
AUXERRE NORD	LE MIROIR	273,04	24,80	38,40	60,40	83,80	14,80
AUXERRE NORD	LES EPRUNES	146,01	12,70	20,20	32,50	45,00	7,70
AUXERRE NORD	MACON NORD	227,30	21,10	33,30	50,30	70,20	12,60
AUXERRE NORD	MACON SUD	237,63	21,90	33,40	53,00	71,70	13,20
AUXERRE NORD	MAGNANT	165,82	14,40	23,00	36,20	50,20	8,50
AUXERRE NORD	MAROLLES-SUR-SEINE	97,62	9,00	13,90	22,40	31,00	5,40
AUXERRE NORD	MONTIGNY-LE-ROI	263,09	21,70	33,60	53,20	73,80	12,90
AUXERRE NORD	NEMOURS	80,78	7,30	11,60	18,60	25,20	4,60
AUXERRE NORD	NITRY	36,50	3,10	4,60	6,80	9,30	1,80
AUXERRE NORD	NUITS-ST-GEORGES	165,60	15,20	23,50	37,10	51,30	9,10
AUXERRE NORD	PEROUGES	319,45	28,90	45,20	70,00	96,50	17,60
AUXERRE NORD	PONT D AIN	294,63	26,70	42,10	65,70	89,30	16,10
AUXERRE NORD	POUILLY-EN-AUXOIS	110,80	9,90	15,60	25,00	34,00	6,30
AUXERRE NORD	REPLONGES	238,15	21,40	33,50	52,10	71,80	12,60
AUXERRE NORD	ROBECOURT	285,05	23,10	37,00	57,90	81,20	14,00
AUXERRE NORD	SAINT MAURICE	339,80	31,40	49,10	77,90	107,20	18,90
AUXERRE NORD	SAINT THIBAULT	139,59	12,20	19,00	30,90	42,70	7,40
AUXERRE NORD	SEURRE	177,10	15,90	25,40	39,60	54,20	9,90
AUXERRE NORD	SOIRANS	204,85	18,50	27,60	44,00	59,90	11,20
AUXERRE NORD	ST MARTIN-DU-FRESNE	311,36	29,80	46,80	72,10	99,10	18,30
AUXERRE NORD	ST-DENIS-LES-SENS	67,73	6,50	10,20	15,70	22,00	4,10
AUXERRE NORD	ST-GERMAIN-LAXIS	129,67	11,60	17,90	28,60	39,70	6,90
AUXERRE NORD	SYLANS	320,93	30,60	48,20	74,10	101,10	18,60
AUXERRE NORD	THENNELIERES	151,69	13,10	21,40	32,30	44,40	8,00
AUXERRE NORD	TIL CHATEL	221,10	19,90	31,40	48,60	66,70	12,00
AUXERRE NORD	TORVILLIERS	123,51	11,60	18,10	28,70	39,80	6,90
AUXERRE NORD	TOURNUS	201,80	18,10	28,00	43,90	59,80	11,10
AUXERRE NORD	URY	92,61	7,70	12,20	19,50	26,70	4,80
AUXERRE NORD	VAL DE SAONE	348,17	28,40	43,00	67,60	94,50	16,70
AUXERRE NORD	VILLE SOUS LAFERTE	193,49	16,40	25,50	41,40	56,50	9,60
AUXERRE NORD	VILLEFRANCHE-LIMAS	303,60	28,40	43,70	68,30	94,00	17,10
AUXERRE NORD	VILLEFRANCHE-NORD	267,85	24,70	37,40	60,00	82,00	14,90
AUXERRE NORD	VILLEFRANCHE-VILLE	273,15	24,80	39,00	60,60	83,00	15,20
AUXERRE NORD	VILLENEUVE-DONDAGRE	54,72	5,00	7,80	12,50	17,50	3,10
AUXERRE NORD	VIRIAT	269,82	23,80	37,40	57,90	80,70	14,80
AUXERRE NORD	VULAINES	96,47	9,00	13,90	22,30	30,90	5,40
AUXERRE SUD	AMBERIEU	290,29	27,60	43,20	67,10	91,30	16,80
AUXERRE SUD	ARLAY	230,80	22,30	35,20	56,00	76,30	13,30
AUXERRE SUD	AUXERRE NORD	11,70	1,10	1,80	2,40	3,70	0,60
AUXERRE SUD	AVALLON	44,10	4,40	6,80	10,80	14,60	2,50
AUXERRE SUD	BALAN	314,32	28,90	45,20	70,00	96,50	17,60
AUXERRE SUD	BAUME-LES-DAMES	270,80	25,50	39,40	62,30	86,30	15,30
AUXERRE SUD	BEAUNE NORD	135,75	13,10	20,60	32,20	44,30	8,00
AUXERRE SUD	BEAUNE SUD	141,50	14,10	22,40	34,80	47,20	8,60
AUXERRE SUD	BEAUPONT	274,50	25,90	40,60	64,00	88,50	15,50
AUXERRE SUD	BEAUREPAIRE	246,20	23,20	36,90	58,30	80,70	14,00
AUXERRE SUD	BELLEVILLE S/SAONE	247,20	23,20	36,40	56,60	77,50	14,00
AUXERRE SUD	BERSAILLIN	226,00	21,90	33,80	54,60	75,70	13,10
AUXERRE SUD	BESANCON EST	251,72	22,80	36,20	56,80	78,90	13,70
AUXERRE SUD	BESANCON NORD	237,10	22,40	35,20	55,40	76,10	13,40
AUXERRE SUD	BESANCON OUEST	227,70	22,40	33,90	54,90	76,00	13,30
AUXERRE SUD	BEYNOST	328,48	31,70	49,20	76,10	103,90	18,90
AUXERRE SUD	BIERRE-LES-SEMUR	70,00	6,20	9,30	15,10	20,60	3,80
AUXERRE SUD	BOURG NORD	248,09	23,50	37,30	56,80	78,60	14,10
AUXERRE SUD	BOURG SUD	268,52	25,10	39,40	60,80	82,90	15,40
AUXERRE SUD	BULGNEVILLE	310,74	24,80	39,10	61,00	84,90	14,90
AUXERRE SUD	CHALON NORD	163,60	16,80	25,90	39,60	54,20	10,00
AUXERRE SUD	CHALON SUD	169,80	16,80	25,90	39,60	54,20	10,00
AUXERRE SUD	CHATENOIS	320,89	25,40	39,10	62,60	86,70	15,40
AUXERRE SUD	CHATILLON-LABORDE	134,11	11,60	17,90	28,60	39,70	6,90
AUXERRE SUD	CHAUMONT-SEMOUTIERS	228,36	17,90	28,20	44,80	61,90	10,80
AUXERRE SUD	CHOISEY	192,91	18,60	29,00	46,40	63,50	11,30
AUXERRE SUD	COLOMBEY-LES-BELLES	349,59	28,00	43,80	69,10	95,70	16,70
AUXERRE SUD	COURTENAY	54,43	4,30	6,90	10,90	14,50	2,50
AUXERRE SUD	DIJON SUD	171,40	17,20	26,60	41,00	56,70	10,30
AUXERRE SUD	DIJON-ARC S/TILLE	186,56	18,60	28,60	44,40	61,60	11,10
AUXERRE SUD	DIJON-CRIMOLOIS	218,90	17,60	27,20	43,20	60,10	10,80
AUXERRE SUD	DOLE	195,10	18,60	29,00	46,40	63,50	11,30
AUXERRE SUD	FEILLENS	223,18	21,40	33,50	52,10	71,80	12,60
AUXERRE SUD	FLEURY-EN-BIERE	120,86	11,10	17,40	26,70	37,20	6,90
AUXERRE SUD	FONTAINEBLEAU	95,43	7,30	11,60	18,60	25,20	4,60
AUXERRE SUD	FORGES	116,84	9,00	13,90	22,40	31,00	5,40
AUXERRE SUD	GENDREY	211,68	20,20	31,80	49,40	68,90	12,20
AUXERRE SUD	GROISSIAT	319,55	32,00	50,10	77,90	106,90	19,20
AUXERRE SUD	GYE	363,20	29,70	46,60	73,60	101,30	18,10
AUXERRE SUD	JOIGNY	37,50	3,20	5,00	7,50	10,20	1,80
AUXERRE SUD	L ISLE-S/LE-DOUBS	288,10	27,10	42,30	65,80	91,00	16,10
AUXERRE SUD	LA BOISSE	340,13	32,90	51,80	80,10	109,50	19,90
AUXERRE SUD	LA BOISSE - MONTLUEL	318,60	30,60	47,70	71,40	97,30	18,50
AUXERRE SUD	LA COTIERE	324,56	31,70	48,60	75,40	103,40	18,80
AUXERRE SUD	LA CROIX-CHALON	304,95	30,10	46,90	74,00	103,10	18,30
AUXERRE SUD	LANGRES NORD	254,69	20,00	31,40	48,20	67,10	11,90
AUXERRE SUD	LANGRES SUD	239,45	20,50	32,60	50,60	70,00	12,30
AUXERRE SUD	LE MIROIR	261,34	24,80	38,40	60,40	83,80	14,80
AUXERRE SUD	LES EPRUNES	157,71	12,70	20,20	32,50	45,00	7,70
AUXERRE SUD	MACON NORD	215,60	21,10	33,30	50,30	70,20	12,60
AUXERRE SUD	MACON SUD	225,93	21,90	33,40	53,00	71,70	13,20
AUXERRE SUD	MAGNANT	177,52	14,40	23,00	36,20	50,20	8,50
AUXERRE SUD	MAROLLES-SUR-SEINE	109,32	9,00	13,90	22,40	31,00	5,40
AUXERRE SUD	MONTIGNY-LE-ROI	274,79	21,70	33,60	53,20	73,80	12,90
AUXERRE SUD	NEMOURS	92,48	7,30	11,60	18,60	25,20	4,60
AUXERRE SUD	NITRY	24,80	2,30	3,60	5,50	7,60	1,40
AUXERRE SUD	NUITS-ST-GEORGES	153,90	15,20	23,50	37,10	51,30	9,10
AUXERRE SUD	PEROUGES	307,75	28,90	45,20	70,00	96,50	17,60
AUXERRE SUD	PONT D AIN	282,93	26,70	42,10	65,70	89,30	16,10
AUXERRE SUD	POUILLY-EN-AUXOIS	99,10	9,90	15,60	25,00	34,00	6,30
AUXERRE SUD	REPLONGES	226,45	21,40	33,50	52,10	71,80	12,60
AUXERRE SUD	ROBECOURT	296,75	23,10	37,00	57,90	81,20	14,00
AUXERRE SUD	SAINT MAURICE	328,10	31,40	49,10	77,90	107,20	18,90
AUXERRE SUD	SAINT THIBAULT	151,29	12,20	19,00	30,90	42,70	7,40
AUXERRE SUD	SEURRE	165,40	15,90	25,40	39,60	54,20	9,90
AUXERRE SUD	SOIRANS	193,15	18,50	27,60	44,00	59,90	11,20
AUXERRE SUD	ST MARTIN-DU-FRESNE	299,66	29,80	46,80	72,10	99,10	18,30
AUXERRE SUD	ST-DENIS-LES-SENS	79,43	6,50	10,20	15,70	22,00	4,10
AUXERRE SUD	ST-GERMAIN-LAXIS	141,37	11,60	17,90	28,60	39,70	6,90
AUXERRE SUD	SYLANS	309,23	30,60	48,20	74,10	101,10	18,60
AUXERRE SUD	THENNELIERES	163,39	13,10	21,40	32,30	44,40	8,00
AUXERRE SUD	TIL CHATEL	209,40	19,90	31,40	48,60	66,70	12,00
AUXERRE SUD	TORVILLIERS	135,21	11,60	18,10	28,70	39,80	6,90
AUXERRE SUD	TOURNUS	190,10	18,10	28,00	43,90	59,80	11,10
AUXERRE SUD	URY	104,31	7,70	12,20	19,50	26,70	4,80
AUXERRE SUD	VILLE SOUS LAFERTE	205,19	16,40	25,50	41,40	56,50	9,60
AUXERRE SUD	VILLEFRANCHE-LIMAS	291,90	28,40	43,70	68,30	94,00	17,10
AUXERRE SUD	VILLEFRANCHE-NORD	256,15	24,70	37,40	60,00	82,00	14,90
AUXERRE SUD	VILLEFRANCHE-VILLE	261,45	24,80	39,00	60,60	83,00	15,20
AUXERRE SUD	VILLENEUVE-DONDAGRE	66,42	5,00	7,80	12,50	17,50	3,10
AUXERRE SUD	VIRIAT	258,12	23,80	37,40	57,90	80,70	14,80
AUXERRE SUD	VULAINES	108,17	9,00	13,90	22,30	30,90	5,40
AVALLON	AMBERIEU	246,19	22,30	35,50	55,00	74,50	13,30
AVALLON	ARLAY	186,70	17,20	26,70	43,20	58,50	10,00
AVALLON	AUXERRE NORD	55,80	4,40	6,80	10,80	14,60	2,50
AVALLON	AUXERRE SUD	44,10	4,40	6,80	10,80	14,60	2,50
