Code entrée	Gare d'entrée	Code Sortie	Gare de sortie	Distance	Classe 1	Classe 2	Classe 3	Classe 4	Classe 5
3007	AIGUEBELETTE	3002	ST QUENTIN FAL. BRETELLE	57,00	6,70	10,40	15,10	19,90	3,30
3007	AIGUEBELETTE	3095	TULLINS	90,00	9,20	14,00	20,10	26,90	4,40
3007	AIGUEBELETTE	3062	VILLEFONTAINE	53,00	6,20	9,50	13,80	17,70	3,10
3007	AIGUEBELETTE	3094	VINAY	104,00	10,50	16,20	23,60	31,10	5,20
3007	AIGUEBELETTE	3086	VOIRON	73,00	7,50	11,20	16,30	21,40	3,70
3007	AIGUEBELETTE	3087	VOREPPE BARRIERE	97,00	9,10	14,40	20,20	28,10	4,70
3033	AITON	3026	CHIGNIN BARRIERE	31,00	4,00	6,10	9,90	13,50	1,80
3033	AITON	3025	CHIGNIN LES MARCHES	25,00	2,60	4,20	5,80	8,40	1,40
3033	AITON	3021	CROLLES BARRIERE	61,00	7,30	11,30	16,40	22,80	3,80
3033	AITON	3022	CROLLES BRIGNOUD	48,00	6,60	10,10	12,00	16,80	3,40
3033	AITON	2052	HERMILLON	36,00	5,40	7,60	14,60	18,60	3,10
3033	AITON	3023	LE TOUVET	37,00	4,20	6,70	9,90	12,90	2,00
3033	AITON	3031	MONTMELIAN	18,00	1,90	3,00	4,20	5,90	1,00
3033	AITON	3024	PONTCHARRA	28,00	3,80	5,50	7,80	10,70	1,60
3033	AITON	2056	ST MICHEL MAURIENNE BAR	68,00	9,10	13,40	28,30	37,20	5,60
3033	AITON	2054	ST MICHEL MAURIENNE ECH	50,00	7,30	10,70	19,90	26,10	4,30
3033	AITON	2050	ST PIERRE BELLEVILLE	14,00	1,90	3,00	5,60	6,40	1,20
3033	AITON	3034	STE HELENE BARRIERE	17,00	1,70	3,10	4,60	5,80	1,00
3033	AITON	2051	STE MARIE DE CUINES	30,00	4,30	6,30	11,90	14,80	2,50
3010	AIX NORD	3007	AIGUEBELETTE	24,00	3,20	4,90	6,80	9,20	1,50
3010	AIX NORD	3009	AIX SUD	7,00	0,80	1,30	1,70	2,70	0,40
3010	AIX NORD	3014	ALLONZIER	38,00	4,20	6,10	8,50	11,80	2,00
3010	AIX NORD	3012	ANNECY CENTRE	26,00	3,10	4,60	6,60	8,80	1,40
3010	AIX NORD	3013	ANNECY NORD	31,00	3,50	5,40	7,20	10,00	1,70
3010	AIX NORD	3004	BOURGOIN	65,00	8,70	12,50	18,30	25,00	4,10
3010	AIX NORD	3008	CHAMBERY NORD	14,00	1,70	2,80	4,10	5,30	0,80
3010	AIX NORD	3091	CHATUZANGE BARRIERE	167,00	19,00	30,10	41,40	54,30	9,60
3010	AIX NORD	3003	ISLE D'ABEAU CENTRE	71,00	8,90	13,80	19,90	26,70	4,40
3010	AIX NORD	3092	LA BAUME D'HOSTUN	151,00	15,50	25,40	35,70	47,30	8,50
3010	AIX NORD	3005	LA TOUR DU PIN	56,00	7,30	11,20	16,30	21,60	3,70
3010	AIX NORD	3006	LES ABRETS	41,00	5,60	8,60	12,50	17,00	2,70
3010	AIX NORD	3083	MOIRANS NORD	101,00	10,30	16,50	24,40	31,20	5,20
3010	AIX NORD	3085	RIVES	86,00	9,00	14,90	20,60	27,40	4,40
3010	AIX NORD	3011	RUMILLY	13,00	1,50	2,20	3,60	4,40	0,70
3010	AIX NORD	3061	SAINT GENIX SUR GUIERS	37,00	5,20	7,20	10,90	14,90	2,10
3010	AIX NORD	3093	SAINT MARCELLIN	138,00	14,10	23,10	32,80	42,90	7,30
3010	AIX NORD	3020	SEYNOD SUD	20,00	2,20	3,40	4,90	6,50	1,10
3010	AIX NORD	15018	ST MARTIN BELLEVUE A41 N	57,00	11,30	19,10	27,90	35,70	5,90
3010	AIX NORD	3015	ST MARTIN BELLEVUE A410	63,00	6,90	10,40	15,10	20,50	3,80
3010	AIX NORD	3001	ST QUENTIN FAL. BARRIERE	102,00	13,10	20,10	29,70	38,90	6,20
3010	AIX NORD	3002	ST QUENTIN FAL. BRETELLE	81,00	9,90	15,40	22,80	30,70	4,90
3010	AIX NORD	3095	TULLINS	114,00	11,50	18,30	26,00	35,60	5,90
3010	AIX NORD	3062	VILLEFONTAINE	77,00	9,40	13,90	20,90	28,70	4,60
3010	AIX NORD	3094	VINAY	128,00	13,10	20,90	29,40	39,10	6,60
3010	AIX NORD	3086	VOIRON	97,00	9,90	15,50	22,10	29,40	5,00
3010	AIX NORD	3087	VOREPPE BARRIERE	121,00	12,00	19,30	27,50	36,40	6,20
3009	AIX SUD	3007	AIGUEBELETTE	17,00	2,70	4,10	5,70	7,60	1,10
3009	AIX SUD	3010	AIX NORD	7,00	0,80	1,30	1,70	2,70	0,40
3009	AIX SUD	3014	ALLONZIER	45,00	4,70	6,80	9,60	13,60	2,30
3009	AIX SUD	3012	ANNECY CENTRE	33,00	3,80	5,80	8,20	10,50	1,80
3009	AIX SUD	3013	ANNECY NORD	38,00	4,10	6,10	8,50	11,40	2,00
3009	AIX SUD	3004	BOURGOIN	58,00	7,50	11,50	17,00	21,90	3,80
3009	AIX SUD	3008	CHAMBERY NORD	7,00	0,90	1,20	2,00	3,00	0,40
3009	AIX SUD	3091	CHATUZANGE BARRIERE	160,00	18,70	28,70	40,80	53,60	9,40
3009	AIX SUD	3003	ISLE D'ABEAU CENTRE	64,00	8,60	12,70	18,70	25,50	4,20
3009	AIX SUD	3092	LA BAUME D'HOSTUN	144,00	14,80	24,70	34,40	46,40	8,20
3009	AIX SUD	3005	LA TOUR DU PIN	49,00	6,20	9,90	13,90	18,60	3,20
3009	AIX SUD	3006	LES ABRETS	34,00	4,90	7,10	10,60	14,10	2,10
3009	AIX SUD	3083	MOIRANS NORD	94,00	10,10	15,70	22,60	30,10	5,00
3009	AIX SUD	3085	RIVES	79,00	8,60	13,40	19,20	25,20	4,20
3009	AIX SUD	3011	RUMILLY	20,00	2,20	3,50	4,70	6,30	1,10
3009	AIX SUD	3061	SAINT GENIX SUR GUIERS	30,00	4,40	6,10	9,50	12,40	1,80
3009	AIX SUD	3093	SAINT MARCELLIN	131,00	13,60	22,20	31,20	41,40	6,90
3009	AIX SUD	3020	SEYNOD SUD	27,00	3,00	4,50	6,20	8,60	1,40
3009	AIX SUD	15018	ST MARTIN BELLEVUE A41 N	64,00	11,80	19,80	29,00	37,50	6,20
3009	AIX SUD	3015	ST MARTIN BELLEVUE A410	70,00	7,60	11,60	16,40	22,30	4,00
3009	AIX SUD	3001	ST QUENTIN FAL. BARRIERE	95,00	12,80	19,40	28,90	37,30	6,00
3009	AIX SUD	3002	ST QUENTIN FAL. BRETELLE	74,00	9,50	14,90	21,70	29,60	4,70
3009	AIX SUD	3095	TULLINS	107,00	11,20	17,70	25,40	33,70	5,50
3009	AIX SUD	3062	VILLEFONTAINE	70,00	8,90	13,40	19,70	26,70	4,50
3009	AIX SUD	3094	VINAY	121,00	12,50	20,10	28,50	37,40	6,30
3009	AIX SUD	3086	VOIRON	90,00	9,30	14,80	21,30	28,30	4,60
3009	AIX SUD	3087	VOREPPE BARRIERE	114,00	11,50	18,40	26,10	35,00	5,80
3014	ALLONZIER	3007	AIGUEBELETTE	62,00	7,80	11,40	16,30	21,60	4,00
3014	ALLONZIER	3010	AIX NORD	38,00	4,20	6,10	8,50	11,80	2,00
3014	ALLONZIER	3009	AIX SUD	45,00	4,70	6,80	9,60	13,60	2,30
3014	ALLONZIER	3012	ANNECY CENTRE	12,00	1,60	2,20	3,90	4,30	0,70
3014	ALLONZIER	3013	ANNECY NORD	7,00	1,00	1,30	2,00	2,90	0,50
3014	ALLONZIER	3004	BOURGOIN	103,00	12,10	18,10	26,00	35,70	6,00
3014	ALLONZIER	3008	CHAMBERY NORD	52,00	6,20	9,50	13,30	17,70	3,00
3014	ALLONZIER	3091	CHATUZANGE BARRIERE	205,00	22,90	35,40	49,60	65,70	11,80
3014	ALLONZIER	3003	ISLE D'ABEAU CENTRE	109,00	12,90	19,40	28,50	37,50	6,20
3014	ALLONZIER	3092	LA BAUME D'HOSTUN	189,00	19,30	30,40	43,10	58,10	10,00
3014	ALLONZIER	3005	LA TOUR DU PIN	94,00	10,90	17,00	24,50	31,80	5,30
3014	ALLONZIER	3006	LES ABRETS	79,00	10,00	15,20	21,20	29,30	4,80
3014	ALLONZIER	3083	MOIRANS NORD	139,00	14,00	22,00	31,10	41,40	7,10
3014	ALLONZIER	3085	RIVES	124,00	12,80	19,80	28,20	38,00	6,30
3014	ALLONZIER	3011	RUMILLY	25,00	3,00	4,40	6,50	8,30	1,30
3014	ALLONZIER	3061	SAINT GENIX SUR GUIERS	75,00	9,60	14,00	19,40	27,40	4,50
3014	ALLONZIER	3093	SAINT MARCELLIN	176,00	17,90	27,90	39,50	53,00	9,30
3014	ALLONZIER	3020	SEYNOD SUD	18,00	2,00	3,20	4,40	6,20	1,00
3014	ALLONZIER	3001	ST QUENTIN FAL. BARRIERE	140,00	16,70	26,10	37,50	48,90	8,30
3014	ALLONZIER	3002	ST QUENTIN FAL. BRETELLE	119,00	14,20	21,80	32,30	43,20	7,20
3014	ALLONZIER	3095	TULLINS	152,00	15,40	23,70	33,70	44,80	7,80
3014	ALLONZIER	3062	VILLEFONTAINE	115,00	13,60	20,70	29,90	40,70	6,70
3014	ALLONZIER	3094	VINAY	166,00	16,60	25,90	36,80	48,90	8,60
3014	ALLONZIER	3086	VOIRON	135,00	13,50	21,10	30,00	40,00	6,90
3014	ALLONZIER	3087	VOREPPE BARRIERE	159,00	15,90	24,90	34,70	45,90	8,30
3012	ANNECY CENTRE	3007	AIGUEBELETTE	50,00	6,30	9,50	13,70	18,30	3,20
3012	ANNECY CENTRE	3010	AIX NORD	26,00	3,10	4,60	6,60	8,80	1,40
3012	ANNECY CENTRE	3009	AIX SUD	33,00	3,80	5,80	8,20	10,50	1,80
3012	ANNECY CENTRE	3014	ALLONZIER	12,00	1,60	2,20	3,90	4,30	0,70
3012	ANNECY CENTRE	3013	ANNECY NORD	5,00	0,60	0,90	1,30	1,70	0,30
3012	ANNECY CENTRE	3004	BOURGOIN	91,00	10,90	16,40	23,20	31,80	5,40
3012	ANNECY CENTRE	3008	CHAMBERY NORD	40,00	5,00	7,30	10,90	15,50	2,20
3012	ANNECY CENTRE	3091	CHATUZANGE BARRIERE	193,00	22,40	33,80	47,30	62,80	11,10
3012	ANNECY CENTRE	3003	ISLE D'ABEAU CENTRE	97,00	11,60	18,00	25,80	35,50	5,60
3012	ANNECY CENTRE	3092	LA BAUME D'HOSTUN	177,00	18,40	29,40	41,70	54,80	9,60
3012	ANNECY CENTRE	3005	LA TOUR DU PIN	82,00	10,20	15,30	21,60	29,60	5,00
3012	ANNECY CENTRE	3006	LES ABRETS	67,00	9,20	13,70	19,10	25,50	4,50
3012	ANNECY CENTRE	3083	MOIRANS NORD	127,00	13,40	21,00	30,00	39,00	6,70
3012	ANNECY CENTRE	3085	RIVES	112,00	12,00	18,50	26,40	36,00	5,90
3012	ANNECY CENTRE	3011	RUMILLY	13,00	1,50	2,30	4,10	5,10	0,70
3012	ANNECY CENTRE	3061	SAINT GENIX SUR GUIERS	63,00	8,20	12,10	17,20	23,70	4,10
3012	ANNECY CENTRE	3093	SAINT MARCELLIN	164,00	16,90	26,70	37,40	49,20	8,80
3012	ANNECY CENTRE	3020	SEYNOD SUD	6,00	0,70	1,10	1,50	2,00	0,40
3012	ANNECY CENTRE	15018	ST MARTIN BELLEVUE A41 N	31,00	8,70	15,20	23,30	28,20	4,60
3012	ANNECY CENTRE	3015	ST MARTIN BELLEVUE A410	37,00	4,70	7,00	10,80	13,90	2,00
3012	ANNECY CENTRE	3001	ST QUENTIN FAL. BARRIERE	128,00	15,90	24,60	36,00	46,90	7,80
3012	ANNECY CENTRE	3002	ST QUENTIN FAL. BRETELLE	107,00	12,80	20,10	29,50	39,80	6,50
3012	ANNECY CENTRE	3095	TULLINS	140,00	14,50	22,30	32,10	42,30	7,30
3012	ANNECY CENTRE	3062	VILLEFONTAINE	103,00	12,10	18,20	26,30	37,20	6,00
3012	ANNECY CENTRE	3094	VINAY	154,00	15,50	24,50	34,80	46,20	8,20
3012	ANNECY CENTRE	3086	VOIRON	123,00	12,40	19,30	28,20	37,30	6,30
3012	ANNECY CENTRE	3087	VOREPPE BARRIERE	147,00	15,20	24,10	33,30	44,10	7,70
3013	ANNECY NORD	3007	AIGUEBELETTE	55,00	6,60	10,20	14,40	19,90	3,20
3013	ANNECY NORD	3010	AIX NORD	31,00	3,50	5,40	7,20	10,00	1,70
3013	ANNECY NORD	3009	AIX SUD	38,00	4,10	6,10	8,50	11,40	2,00
3013	ANNECY NORD	3014	ALLONZIER	7,00	1,00	1,30	2,00	2,90	0,50
3013	ANNECY NORD	3012	ANNECY CENTRE	5,00	0,60	0,90	1,30	1,70	0,30
3013	ANNECY NORD	3004	BOURGOIN	96,00	11,20	17,40	24,80	33,60	5,50
3013	ANNECY NORD	3008	CHAMBERY NORD	45,00	5,20	8,40	11,50	15,70	2,40
3013	ANNECY NORD	3091	CHATUZANGE BARRIERE	198,00	22,60	34,60	48,40	64,80	11,40
3013	ANNECY NORD	3003	ISLE D'ABEAU CENTRE	102,00	11,70	18,70	27,00	36,20	5,70
3013	ANNECY NORD	3092	LA BAUME D'HOSTUN	182,00	18,70	30,00	41,80	56,20	9,70
3013	ANNECY NORD	3005	LA TOUR DU PIN	87,00	10,50	15,90	22,90	30,80	5,20
3013	ANNECY NORD	3006	LES ABRETS	72,00	9,50	14,30	19,70	27,40	4,60
3013	ANNECY NORD	3083	MOIRANS NORD	132,00	13,50	21,20	30,50	40,30	6,80
3013	ANNECY NORD	3085	RIVES	117,00	12,10	18,70	26,50	36,30	6,00
3013	ANNECY NORD	3011	RUMILLY	18,00	2,10	3,20	4,60	6,30	1,00
3013	ANNECY NORD	3061	SAINT GENIX SUR GUIERS	68,00	8,80	13,10	18,70	25,50	4,20
3013	ANNECY NORD	3093	SAINT MARCELLIN	169,00	17,00	27,50	38,20	50,90	8,90
3013	ANNECY NORD	3020	SEYNOD SUD	11,00	1,30	1,90	3,00	4,00	0,60
3013	ANNECY NORD	15018	ST MARTIN BELLEVUE A41 N	26,00	8,10	14,30	21,40	26,80	4,40
3013	ANNECY NORD	3015	ST MARTIN BELLEVUE A410	32,00	4,50	6,40	9,80	13,10	1,80
3013	ANNECY NORD	3001	ST QUENTIN FAL. BARRIERE	133,00	16,50	25,10	36,70	47,40	7,90
3013	ANNECY NORD	3002	ST QUENTIN FAL. BRETELLE	112,00	13,50	20,90	30,30	41,30	6,70
3013	ANNECY NORD	3095	TULLINS	145,00	14,80	23,10	32,50	43,30	7,60
3013	ANNECY NORD	3062	VILLEFONTAINE	108,00	12,80	19,20	28,50	37,70	6,40
3013	ANNECY NORD	3094	VINAY	159,00	16,00	25,50	35,50	46,90	8,30
3013	ANNECY NORD	3086	VOIRON	128,00	12,90	19,80	28,40	38,00	6,50
3013	ANNECY NORD	3087	VOREPPE BARRIERE	152,00	15,20	24,30	33,80	44,70	7,80
3004	BOURGOIN	3007	AIGUEBELETTE	41,00	4,90	7,20	10,30	13,30	2,20
3004	BOURGOIN	3010	AIX NORD	65,00	8,70	12,50	18,30	25,00	4,10
3004	BOURGOIN	3009	AIX SUD	58,00	7,50	11,50	17,00	21,90	3,80
3004	BOURGOIN	3014	ALLONZIER	103,00	12,10	18,10	26,00	35,70	6,00
3004	BOURGOIN	3012	ANNECY CENTRE	91,00	10,90	16,40	23,20	31,80	5,40
3004	BOURGOIN	3013	ANNECY NORD	96,00	11,20	17,40	24,80	33,60	5,50
3004	BOURGOIN	3008	CHAMBERY NORD	51,00	6,70	10,70	15,90	21,00	3,70
3004	BOURGOIN	3091	CHATUZANGE BARRIERE	109,00	13,90	20,40	28,90	39,50	6,90
3004	BOURGOIN	3003	ISLE D'ABEAU CENTRE	6,00	0,60	1,10	1,40	1,90	0,30
3004	BOURGOIN	3092	LA BAUME D'HOSTUN	93,00	10,50	16,50	23,40	32,00	5,30
3004	BOURGOIN	3005	LA TOUR DU PIN	9,00	1,10	1,80	2,90	4,00	0,60
3004	BOURGOIN	3072	LA TOUR DU PIN EST	12,00	1,40	2,30	3,60	5,00	0,70
3004	BOURGOIN	3006	LES ABRETS	24,00	3,00	4,70	6,20	7,80	1,40
3004	BOURGOIN	3083	MOIRANS NORD	43,00	4,60	7,20	10,70	14,40	2,30
3004	BOURGOIN	3085	RIVES	28,00	3,00	4,90	6,70	8,90	1,50
3004	BOURGOIN	3011	RUMILLY	78,00	9,90	15,00	21,10	28,40	4,70
3004	BOURGOIN	3061	SAINT GENIX SUR GUIERS	28,00	3,50	5,30	7,20	9,80	1,60
3004	BOURGOIN	3093	SAINT MARCELLIN	80,00	8,80	14,10	20,10	27,00	4,50
3004	BOURGOIN	3020	SEYNOD SUD	85,00	10,20	15,60	22,20	30,20	5,00
3004	BOURGOIN	15018	ST MARTIN BELLEVUE A41 N	122,00	19,20	31,10	45,40	59,60	9,90
3004	BOURGOIN	3015	ST MARTIN BELLEVUE A410	128,00	15,10	22,80	32,00	44,40	7,60
3004	BOURGOIN	3001	ST QUENTIN FAL. BARRIERE	37,00	4,00	6,10	8,40	12,00	1,90
3004	BOURGOIN	3002	ST QUENTIN FAL. BRETELLE	16,00	1,60	2,90	4,60	6,20	0,80
3004	BOURGOIN	3095	TULLINS	56,00	6,10	9,70	13,60	17,60	3,10
3004	BOURGOIN	3062	VILLEFONTAINE	12,00	1,20	2,10	3,30	4,20	0,60
3004	BOURGOIN	3094	VINAY	70,00	7,70	12,00	17,10	22,10	3,90
3004	BOURGOIN	3086	VOIRON	39,00	4,10	6,40	9,30	12,00	2,10
3004	BOURGOIN	3087	VOREPPE BARRIERE	63,00	6,20	9,50	13,50	18,80	3,20
3008	CHAMBERY NORD	3007	AIGUEBELETTE	10,00	1,50	2,40	3,60	4,80	0,80
3008	CHAMBERY NORD	3010	AIX NORD	14,00	1,70	2,80	4,10	5,30	0,80
3008	CHAMBERY NORD	3009	AIX SUD	7,00	0,90	1,20	2,00	3,00	0,40
3008	CHAMBERY NORD	3014	ALLONZIER	52,00	6,20	9,50	13,30	17,70	3,00
3008	CHAMBERY NORD	3012	ANNECY CENTRE	40,00	5,00	7,30	10,90	15,50	2,20
3008	CHAMBERY NORD	3013	ANNECY NORD	45,00	5,20	8,40	11,50	15,70	2,40
3008	CHAMBERY NORD	3004	BOURGOIN	51,00	6,70	10,70	15,90	21,00	3,70
3008	CHAMBERY NORD	3091	CHATUZANGE BARRIERE	153,00	18,30	27,70	39,40	51,30	9,30
3008	CHAMBERY NORD	3003	ISLE D'ABEAU CENTRE	57,00	7,80	11,90	17,50	23,20	4,00
3008	CHAMBERY NORD	3092	LA BAUME D'HOSTUN	137,00	14,70	22,90	33,20	44,00	7,60
3008	CHAMBERY NORD	3005	LA TOUR DU PIN	42,00	5,60	9,20	13,20	17,90	3,00
3008	CHAMBERY NORD	3006	LES ABRETS	27,00	4,30	6,20	8,90	13,30	1,80
3008	CHAMBERY NORD	3083	MOIRANS NORD	87,00	9,70	14,80	21,70	29,10	4,70
3008	CHAMBERY NORD	3085	RIVES	72,00	8,30	12,60	18,50	25,20	4,00
3008	CHAMBERY NORD	3011	RUMILLY	27,00	3,20	4,90	6,80	9,40	1,40
3008	CHAMBERY NORD	3061	SAINT GENIX SUR GUIERS	23,00	3,50	5,30	8,00	11,10	1,50
3008	CHAMBERY NORD	3093	SAINT MARCELLIN	124,00	13,50	20,50	30,20	39,70	6,50
3008	CHAMBERY NORD	3020	SEYNOD SUD	34,00	3,90	6,00	8,80	12,10	1,90
3008	CHAMBERY NORD	15018	ST MARTIN BELLEVUE A41 N	71,00	13,30	22,50	32,70	41,60	6,90
3008	CHAMBERY NORD	3015	ST MARTIN BELLEVUE A410	77,00	9,70	14,80	20,60	28,80	4,70
3008	CHAMBERY NORD	3001	ST QUENTIN FAL. BARRIERE	88,00	12,20	19,40	28,80	37,20	5,80
3008	CHAMBERY NORD	3002	ST QUENTIN FAL. BRETELLE	67,00	9,40	14,70	21,60	29,00	4,50
3008	CHAMBERY NORD	3095	TULLINS	100,00	10,70	16,50	24,00	31,80	5,20
3008	CHAMBERY NORD	3062	VILLEFONTAINE	63,00	8,70	12,80	18,70	25,40	4,10
3008	CHAMBERY NORD	3094	VINAY	114,00	12,00	18,50	27,30	36,70	5,90
3008	CHAMBERY NORD	3086	VOIRON	83,00	9,20	14,30	20,60	27,50	4,40
3008	CHAMBERY NORD	3087	VOREPPE BARRIERE	107,00	11,30	17,40	25,30	33,80	5,60
3091	CHATUZANGE BARRIERE	3007	AIGUEBELETTE	143,00	15,50	24,20	34,80	45,80	8,30
3091	CHATUZANGE BARRIERE	3010	AIX NORD	167,00	19,00	30,10	41,40	54,30	9,60
3091	CHATUZANGE BARRIERE	3009	AIX SUD	160,00	18,70	28,70	40,80	53,60	9,40
3091	CHATUZANGE BARRIERE	3014	ALLONZIER	205,00	22,90	35,40	49,60	65,70	11,80
3091	CHATUZANGE BARRIERE	3012	ANNECY CENTRE	193,00	22,40	33,80	47,30	62,80	11,10
3091	CHATUZANGE BARRIERE	3013	ANNECY NORD	198,00	22,60	34,60	48,40	64,80	11,40
3091	CHATUZANGE BARRIERE	3004	BOURGOIN	109,00	13,90	20,40	28,90	39,50	6,90
3091	CHATUZANGE BARRIERE	3008	CHAMBERY NORD	153,00	18,30	27,70	39,40	51,30	9,30
3091	CHATUZANGE BARRIERE	3003	ISLE D'ABEAU CENTRE	115,00	13,90	21,40	30,70	40,30	6,70
3091	CHATUZANGE BARRIERE	3092	LA BAUME D'HOSTUN	16,00	2,40	3,70	5,20	6,80	1,10
3091	CHATUZANGE BARRIERE	3005	LA TOUR DU PIN	111,00	14,00	21,00	29,50	39,90	6,80
3091	CHATUZANGE BARRIERE	3072	LA TOUR DU PIN EST	119,00	14,30	21,40	30,20	40,70	6,90
3091	CHATUZANGE BARRIERE	3006	LES ABRETS	126,00	15,00	22,80	32,20	42,80	7,30
3091	CHATUZANGE BARRIERE	3084	MOIRANS	71,00	9,00	13,40	18,20	25,60	4,50
3091	CHATUZANGE BARRIERE	3085	RIVES	81,00	10,70	15,90	22,40	31,90	5,40
3091	CHATUZANGE BARRIERE	3011	RUMILLY	180,00	20,10	31,50	43,50	57,40	10,10
3091	CHATUZANGE BARRIERE	3061	SAINT GENIX SUR GUIERS	135,00	15,90	24,40	34,50	46,40	7,70
3091	CHATUZANGE BARRIERE	3093	SAINT MARCELLIN	29,00	3,90	5,90	8,40	11,80	1,80
3091	CHATUZANGE BARRIERE	3020	SEYNOD SUD	192,00	20,50	31,80	44,20	58,80	10,30
3091	CHATUZANGE BARRIERE	15018	ST MARTIN BELLEVUE A41 N	224,00	30,00	48,40	69,00	89,60	15,70
3091	CHATUZANGE BARRIERE	3015	ST MARTIN BELLEVUE A410	230,00	26,90	40,30	55,20	75,90	13,30
3091	CHATUZANGE BARRIERE	3001	ST QUENTIN FAL. BARRIERE	146,00	17,10	26,00	37,00	49,60	8,50
3091	CHATUZANGE BARRIERE	3002	ST QUENTIN FAL. BRETELLE	125,00	15,00	23,00	33,20	44,70	7,50
3091	CHATUZANGE BARRIERE	3095	TULLINS	53,00	6,80	10,40	14,90	20,20	3,60
3091	CHATUZANGE BARRIERE	3062	VILLEFONTAINE	121,00	14,20	21,90	32,10	41,90	7,20
3091	CHATUZANGE BARRIERE	3094	VINAY	39,00	4,90	7,60	11,10	15,50	2,30
3091	CHATUZANGE BARRIERE	3086	VOIRON	70,00	10,00	14,60	20,00	27,90	4,80
3091	CHATUZANGE BARRIERE	3087	VOREPPE BARRIERE	79,00	10,40	16,10	22,80	30,80	4,60
3071	CHESNES	3400	Système Ouvert	19,00	2,10	3,30	5,20	6,40	1,00
3026	CHIGNIN BARRIERE	3033	AITON	31,00	4,00	6,10	9,90	13,50	1,80
3026	CHIGNIN BARRIERE	3021	CROLLES BARRIERE	51,00	6,10	9,20	14,20	18,70	3,10
3026	CHIGNIN BARRIERE	3022	CROLLES BRIGNOUD	37,00	5,50	7,90	9,90	13,00	2,80
3026	CHIGNIN BARRIERE	2052	HERMILLON	67,00	9,40	13,70	24,50	32,10	4,90
3026	CHIGNIN BARRIERE	3023	LE TOUVET	27,00	3,10	4,70	6,50	8,60	1,60
3026	CHIGNIN BARRIERE	3031	MONTMELIAN	15,00	1,60	2,70	4,30	5,80	0,90
3026	CHIGNIN BARRIERE	3024	PONTCHARRA	17,00	1,90	3,10	4,50	6,30	1,00
3026	CHIGNIN BARRIERE	3032	SAINT PIERRE D'ALBIGNY	24,00	2,80	4,20	6,70	9,00	1,40
3026	CHIGNIN BARRIERE	2056	ST MICHEL MAURIENNE BAR	99,00	13,10	19,50	38,20	50,70	7,40
3026	CHIGNIN BARRIERE	2054	ST MICHEL MAURIENNE ECH	81,00	11,30	16,80	29,80	39,60	6,10
3026	CHIGNIN BARRIERE	2050	ST PIERRE BELLEVILLE	45,00	5,90	9,10	15,50	19,90	3,00
3026	CHIGNIN BARRIERE	3034	STE HELENE BARRIERE	44,00	5,60	9,20	12,90	17,20	3,00
3026	CHIGNIN BARRIERE	2051	STE MARIE DE CUINES	61,00	8,30	12,40	21,80	28,30	4,30
3027	CHIGNIN BRETELLE	3400	Système Ouvert	7,00	1,00	1,60	2,40	3,40	0,50
3025	CHIGNIN LES MARCHES	3033	AITON	25,00	2,60	4,20	5,80	8,40	1,40
