Gare d'entrée	Gare de sortie	Distance	Catégorie 1	Catégorie 2	Catégorie 3	Catégorie 4	Catégorie 5
DEUX CHAISES	ARLAY	627,52	73,30	113,30	183,50	244,80	41,50
DEUX CHAISES	ARTENAY	247,60	25,80	41,80	65,40	87,70	15,80
DEUX CHAISES	AUXERRE NORD	385,02	51,70	78,90	128,40	169,20	28,40
DEUX CHAISES	AUXERRE SUD	396,72	51,70	78,90	128,40	169,20	28,40
DEUX CHAISES	AUXY	293,90	35,00	53,60	87,40	115,50	19,60
DEUX CHAISES	AVALLON	440,82	55,70	85,40	139,10	184,60	31,30
DEUX CHAISES	BALAN	711,04	79,90	123,40	197,40	264,40	45,80
DEUX CHAISES	BAUME-LES-DAMES	667,52	76,40	118,00	189,70	254,70	43,70
DEUX CHAISES	BEAUMONT	688,01	80,40	122,50	197,40	261,10	45,10
DEUX CHAISES	BEAUNE NORD	532,47	64,00	98,80	159,50	211,70	36,20
DEUX CHAISES	BEAUNE SUD	538,22	65,30	100,30	162,00	215,80	36,80
DEUX CHAISES	BEAUPONT	671,22	76,60	118,40	191,20	256,10	44,00
DEUX CHAISES	BEAUREPAIRE	642,92	74,50	115,00	185,60	249,20	42,20
DEUX CHAISES	BELLEGARDE	722,70	85,90	132,90	212,70	286,10	49,40
DEUX CHAISES	BELLEVILLE S/SAONE	643,92	74,60	114,90	184,20	246,80	42,20
DEUX CHAISES	BERSAILLIN	622,93	73,10	111,90	182,00	243,20	41,40
DEUX CHAISES	BESANCON EST	648,44	73,60	114,40	184,40	247,50	42,00
DEUX CHAISES	BESANCON NORD	633,82	73,60	113,30	182,80	244,60	41,60
DEUX CHAISES	BESANCON OUEST	624,42	73,60	112,70	182,30	243,50	41,50
DEUX CHAISES	BEYNOST	725,20	82,40	127,40	203,40	273,30	47,60
DEUX CHAISES	BIERRE-LES-SEMUR	466,72	57,80	88,10	143,60	190,80	32,30
DEUX CHAISES	BLERE	237,30	23,60	37,80	60,10	80,10	14,20
DEUX CHAISES	BLOIS	277,10	29,50	45,90	73,90	96,40	18,00
DEUX CHAISES	BOURG NORD	644,81	74,80	115,40	184,40	247,50	42,60
DEUX CHAISES	BOURG SUD	665,24	76,10	117,70	188,50	252,60	44,00
DEUX CHAISES	BOURGES (LIM.CONC.)	115,90	10,30	16,00	25,60	36,10	6,10
DEUX CHAISES	BULGNEVILLE	598,27	68,30	104,90	168,60	226,30	38,40
DEUX CHAISES	CHALON NORD	560,32	67,70	104,30	166,90	223,00	38,10
DEUX CHAISES	CHALON SUD	566,52	67,70	104,30	166,90	223,00	38,10
DEUX CHAISES	CHALONS LA VEUVE	543,21	66,80	101,70	166,40	218,70	37,40
DEUX CHAISES	CHALONS MOURMELON	551,61	66,40	102,10	166,80	221,40	37,60
DEUX CHAISES	CHARMONT (LIM.CONC)	464,71	58,90	90,20	146,40	194,60	32,80
DEUX CHAISES	CHATEAU-THIERRY	622,91	75,60	114,50	184,70	246,10	42,50
DEUX CHAISES	CHATENOIS	608,42	68,80	105,60	170,30	228,20	39,00
DEUX CHAISES	CHATILLON-LABORDE	421,64	54,80	84,00	136,10	180,40	30,60
DEUX CHAISES	CHAUMONT-SEMOUTIERS	515,89	61,30	94,00	152,60	203,40	34,30
DEUX CHAISES	CHEMERY	196,70	18,60	29,40	45,70	64,40	11,40
DEUX CHAISES	CHOISEY	589,63	69,90	107,60	173,60	232,10	39,50
DEUX CHAISES	CLERMONT EN ARGONNE	602,41	70,30	108,40	174,80	231,40	40,00
DEUX CHAISES	CLERMONT-BARRIERE	87,56	7,50	11,60	18,40	24,60	4,50
DEUX CHAISES	COLOMBEY-LES-BELLES	637,12	71,50	109,50	176,60	237,60	40,10
DEUX CHAISES	COMBRONDE	50,57	4,30	6,60	10,40	15,00	2,50
DEUX CHAISES	COURTENAY	342,71	47,20	72,00	117,70	154,60	25,90
DEUX CHAISES	DIJON SUD	568,12	67,90	104,70	168,20	224,60	38,20
DEUX CHAISES	DIJON-ARC S/TILLE	583,28	69,50	107,10	172,00	229,80	39,30
DEUX CHAISES	DIJON-CRIMOLOIS	615,62	68,70	105,30	170,80	227,20	39,00
DEUX CHAISES	DOLE	591,82	69,90	107,60	173,60	232,10	39,50
DEUX CHAISES	DORMANS	597,31	72,90	110,90	179,10	237,60	41,20
DEUX CHAISES	EGLETONS	171,32	18,70	27,90	40,90	59,00	10,70
DEUX CHAISES	ELOISE	731,40	87,30	135,30	216,10	291,00	50,40
DEUX CHAISES	ESCRENNES	270,80	30,90	47,80	75,30	101,50	17,60
DEUX CHAISES	ESVRES	251,10	25,70	40,90	64,60	84,10	15,20
DEUX CHAISES	FEILLENS	619,90	72,20	111,80	179,70	240,80	41,30
DEUX CHAISES	FLEURY-EN-BIERE	409,14	53,40	81,90	132,60	175,10	29,60
DEUX CHAISES	FONTAINEBLEAU	383,71	50,80	77,50	126,50	165,90	28,00
DEUX CHAISES	FONTENAY /LOING	316,30	38,70	60,50	100,50	130,80	21,80
DEUX CHAISES	FORET DE TRONCAIS	45,25	3,70	5,60	9,20	12,60	2,20
DEUX CHAISES	FORGES	404,37	52,40	79,70	129,70	171,70	28,70
DEUX CHAISES	FRESNES EN WOEVRE	642,71	75,30	115,70	186,50	246,50	42,50
DEUX CHAISES	GANNAT	48,58	4,20	6,50	9,90	12,80	2,40
DEUX CHAISES	GENDREY	608,40	71,00	109,50	177,10	237,30	40,40
DEUX CHAISES	GERZAT-VILLE	69,43	6,10	9,20	14,60	20,50	3,70
DEUX CHAISES	GIDY	234,50	24,40	38,20	61,00	81,80	14,60
DEUX CHAISES	GONDREVILLE A77/N	309,10	38,10	57,80	95,60	126,60	21,20
DEUX CHAISES	GONDREVILLE A77/S	355,85	42,50	64,40	106,20	140,60	23,90
DEUX CHAISES	GROISSIAT	716,27	82,80	128,00	205,50	276,00	47,80
DEUX CHAISES	GYE	650,73	73,80	112,60	180,80	243,10	41,40
DEUX CHAISES	JARNY	665,21	76,90	118,50	189,20	248,50	43,60
DEUX CHAISES	JOIGNY	359,22	48,90	74,40	121,20	159,50	26,90
DEUX CHAISES	L ISLE-S/LE-DOUBS	684,82	77,90	120,20	193,20	259,30	44,50
DEUX CHAISES	LA BOISSE	736,85	83,90	129,70	207,50	278,90	48,40
DEUX CHAISES	LA BOISSE - MONTLUEL	715,32	81,50	125,50	198,50	266,30	46,80
DEUX CHAISES	LA COTIERE	721,28	82,30	126,70	202,80	270,60	47,50
DEUX CHAISES	LA CROIX-CHALON	701,67	81,00	125,30	201,10	270,30	46,60
DEUX CHAISES	LA FOLIE-B/PARIS	325,70	34,10	54,50	88,40	117,00	21,50
DEUX CHAISES	LAMOTTE-BEUVRON	187,60	17,40	27,70	45,30	58,80	10,10
DEUX CHAISES	LANGRES NORD	542,22	63,40	96,70	155,40	208,30	35,50
DEUX CHAISES	LANGRES SUD	548,87	64,20	98,10	158,10	211,10	36,20
DEUX CHAISES	LE MIROIR	658,06	75,60	116,50	188,10	251,50	43,10
DEUX CHAISES	LES EPRUNES	445,24	55,90	86,10	139,90	186,20	31,50
DEUX CHAISES	MACON NORD	612,32	72,10	111,10	177,70	237,90	40,90
DEUX CHAISES	MACON SUD	622,65	73,00	112,50	180,10	241,10	41,40
DEUX CHAISES	MAGNANT	465,05	58,00	88,60	143,50	191,50	32,30
DEUX CHAISES	MANZAT	62,32	5,90	8,90	13,40	18,90	3,20
DEUX CHAISES	MAROLLES-SUR-SEINE	396,85	52,40	79,70	129,70	171,70	28,70
DEUX CHAISES	MER	259,90	27,60	43,50	68,20	92,60	16,30
DEUX CHAISES	MEUNG SUR LOIRE	243,40	25,00	39,90	61,10	85,30	15,20
DEUX CHAISES	MONT CHOISY	523,41	64,40	98,90	161,40	213,50	36,40
DEUX CHAISES	MONTIGNY-LE-ROI	562,32	65,10	99,20	160,50	215,10	36,60
DEUX CHAISES	MONTLUCON	41,15	3,30	5,10	8,10	11,80	2,00
DEUX CHAISES	MONTMARAULT	8,58	0,60	0,90	1,50	2,20	0,30
DEUX CHAISES	MONTREUIL (REIMS)	643,41	78,10	117,90	189,40	249,60	43,70
DEUX CHAISES	MONTREUIL AUX LIONS	669,71	80,30	121,20	194,70	257,90	45,30
DEUX CHAISES	NEMOURS	380,76	50,80	77,50	126,50	165,90	28,00
DEUX CHAISES	NITRY	421,52	53,80	82,30	133,60	177,60	29,80
DEUX CHAISES	NUITS-ST-GEORGES	550,62	66,20	101,80	164,60	219,50	37,30
DEUX CHAISES	OLIVET	219,90	22,00	33,80	54,10	72,80	12,90
DEUX CHAISES	ORLEANS-CENTRE	226,30	22,40	35,80	58,60	74,50	13,10
DEUX CHAISES	ORLEANS-NORD	232,30	23,90	37,40	59,50	80,10	14,30
DEUX CHAISES	PEROUGES	704,47	79,90	123,40	197,40	264,40	45,80
DEUX CHAISES	PONT D AIN	679,65	77,40	120,00	193,10	258,30	44,60
DEUX CHAISES	POUILLY-EN-AUXOIS	495,82	61,40	94,40	152,20	203,80	34,30
DEUX CHAISES	REIMS EST (TAISSY)	570,41	70,40	106,90	174,20	229,90	39,20
DEUX CHAISES	REIMS NORD (ORMES)	577,01	71,70	108,70	175,80	232,20	39,70
DEUX CHAISES	REIMS OUEST (THILLOIS)	583,61	72,20	109,40	176,50	234,60	40,20
DEUX CHAISES	REIMS SUD	569,41	70,20	106,40	173,00	228,50	39,10
DEUX CHAISES	REPLONGES	623,17	72,20	111,80	179,70	240,80	41,30
DEUX CHAISES	RIOM	63,41	5,30	8,20	13,10	17,90	3,30
DEUX CHAISES	ROBECOURT	584,28	66,80	102,70	165,20	221,50	37,70
DEUX CHAISES	SAINT GENIS	712,84	76,70	118,20	187,80	251,20	43,60
DEUX CHAISES	SAINT MAURICE	724,82	82,50	127,30	205,50	276,70	47,60
DEUX CHAISES	SAINT THIBAULT	438,82	55,30	84,80	138,20	183,70	31,00
DEUX CHAISES	SALBRIS	168,90	15,60	25,00	40,10	52,50	9,50
DEUX CHAISES	SAVIGNY /CLAIRIS	341,50	44,40	67,30	110,90	144,20	24,40
DEUX CHAISES	SEURRE	562,12	67,40	103,90	166,80	223,20	38,00
DEUX CHAISES	SOIRANS	589,87	69,10	106,00	171,70	228,30	39,40
DEUX CHAISES	SOMMESOUS	502,11	62,20	95,50	155,50	206,20	34,90
DEUX CHAISES	ST AMAND-MONTROND	74,45	6,10	9,40	15,00	21,00	3,80
DEUX CHAISES	ST ETIENNE AU TEMPLE	551,61	66,40	102,10	166,80	221,40	37,60
DEUX CHAISES	ST GERMAIN LES VERGNE	215,32	24,10	36,60	52,50	74,30	14,10
DEUX CHAISES	ST GIBRIEN	530,81	65,40	100,10	163,10	216,20	36,80
DEUX CHAISES	ST HILAIRE	337,30	43,40	66,30	109,10	141,70	24,20
DEUX CHAISES	ST JULIEN SANCY	105,32	10,70	16,40	24,70	34,10	6,20
DEUX CHAISES	ST MARTIN-DU-FRESNE	696,38	80,70	125,20	199,60	268,60	46,60
DEUX CHAISES	ST ROMAIN SUR CHER	207,90	20,20	32,30	51,90	71,00	12,00
DEUX CHAISES	ST-DENIS-LES-SENS	366,96	49,50	75,70	122,90	161,60	27,30
DEUX CHAISES	ST-GERMAIN-LAXIS	428,90	54,80	84,00	136,10	180,40	30,60
DEUX CHAISES	STE MENEHOULD	584,61	68,70	105,90	172,60	229,00	39,10
DEUX CHAISES	SYLANS	705,95	81,40	126,20	201,20	270,70	46,90
DEUX CHAISES	THENNELIERES	450,92	56,70	86,90	139,80	185,70	31,90
DEUX CHAISES	TIL CHATEL	578,92	66,70	101,50	165,00	221,20	37,50
DEUX CHAISES	TORVILLIERS	422,74	54,80	84,00	136,40	180,70	30,60
DEUX CHAISES	TOURNUS	586,82	69,30	106,80	171,50	228,60	39,30
DEUX CHAISES	TOURS-C/MONNAIE	335,00	36,10	58,00	88,30	120,80	21,50
DEUX CHAISES	TULLE EST	189,32	21,60	32,50	47,40	65,00	12,30
DEUX CHAISES	TULLE NORD	197,32	22,40	33,90	48,30	70,20	12,70
DEUX CHAISES	URY	392,59	51,60	78,60	127,80	168,10	28,50
DEUX CHAISES	USSEL EST	129,32	13,60	21,00	31,30	43,90	7,60
DEUX CHAISES	USSEL OUEST	146,32	15,80	23,20	35,10	49,70	9,00
DEUX CHAISES	VAL DE SAONE	733,19	79,30	120,70	195,20	261,80	44,90
DEUX CHAISES	VALLEE DE L'AUBE	477,81	60,10	92,30	149,60	198,80	33,60
DEUX CHAISES	VATRY	506,41	63,00	96,20	155,60	207,70	35,10
DEUX CHAISES	VEIGNE	269,90	26,20	42,60	68,60	90,50	16,40
DEUX CHAISES	VERDUN	642,71	75,30	115,70	186,50	246,50	42,50
DEUX CHAISES	VIERZON-EST	142,20	13,10	20,90	32,40	44,80	8,30
DEUX CHAISES	VIERZON-NORD	147,90	13,40	21,20	34,70	47,00	8,40
DEUX CHAISES	VILLE SOUS LAFERTE	492,72	59,60	91,40	148,60	197,60	33,20
DEUX CHAISES	VILLEFRANCHE S/ CHER	175,40	16,70	26,70	42,70	57,00	10,30
DEUX CHAISES	VILLEFRANCHE-LIMAS	688,62	79,60	122,30	195,80	262,60	45,20
DEUX CHAISES	VILLEFRANCHE-NORD	652,87	75,60	115,80	187,50	250,90	43,20
DEUX CHAISES	VILLEFRANCHE-VILLE	658,17	76,20	117,40	188,30	251,90	43,50
DEUX CHAISES	VILLENEUVE-DONDAGRE	353,95	48,30	73,80	120,20	158,20	26,60
DEUX CHAISES	VIRIAT	654,84	74,90	115,50	185,00	248,50	43,30
DEUX CHAISES	VIRY	765,80	91,60	142,70	227,60	305,90	53,20
DEUX CHAISES	VOIE SACREE	615,61	72,70	111,70	178,50	237,60	41,10
DEUX CHAISES	VULAINES	395,70	52,70	79,70	129,70	171,60	28,80
DEUX CHAISES	VULCANIA BROMONT	82,32	8,20	12,20	18,70	26,50	4,60
DIJON SUD	DEUX CHAISES	568,12	67,90	104,70	168,20	224,60	38,20
DIJON-ARC S/TILLE	DEUX CHAISES	583,28	69,50	107,10	172,00	229,80	39,30
DIJON-CRIMOLOIS	DEUX CHAISES	615,62	68,70	105,30	170,80	227,20	39,00
DOLE	DEUX CHAISES	591,82	69,90	107,60	173,60	232,10	39,50
DORMANS	DEUX CHAISES	597,31	72,90	110,90	179,10	237,60	41,20
EGLETONS	DEUX CHAISES	171,32	18,70	27,90	40,90	59,00	10,70
ELOISE	DEUX CHAISES	731,40	87,30	135,30	216,10	291,00	50,40
ESCRENNES	DEUX CHAISES	270,80	30,90	47,80	75,30	101,50	17,60
ESVRES	DEUX CHAISES	251,10	25,70	40,90	64,60	84,10	15,20
FEILLENS	DEUX CHAISES	619,90	72,20	111,80	179,70	240,80	41,30
FLEURY-EN-BIERE	DEUX CHAISES	409,14	53,40	81,90	132,60	175,10	29,60
FONTAINEBLEAU	DEUX CHAISES	383,71	50,80	77,50	126,50	165,90	28,00
FONTENAY /LOING	DEUX CHAISES	316,30	38,70	60,50	100,50	130,80	21,80
FORET DE TRONCAIS	DEUX CHAISES	45,25	3,70	5,60	9,20	12,60	2,20
FORGES	DEUX CHAISES	404,37	52,40	79,70	129,70	171,70	28,70
FRESNES EN WOEVRE	DEUX CHAISES	642,71	75,30	115,70	186,50	246,50	42,50
GANNAT	DEUX CHAISES	48,58	4,20	6,50	9,90	12,80	2,40
GENDREY	DEUX CHAISES	608,40	71,00	109,50	177,10	237,30	40,40
GERZAT-VILLE	DEUX CHAISES	69,43	6,10	9,20	14,60	20,50	3,70
GIDY	DEUX CHAISES	234,50	24,40	38,20	61,00	81,80	14,60
GONDREVILLE A77/N	DEUX CHAISES	309,10	38,10	57,80	95,60	126,60	21,20
GONDREVILLE A77/S	DEUX CHAISES	355,85	42,50	64,40	106,20	140,60	23,90
GROISSIAT	DEUX CHAISES	716,27	82,80	128,00	205,50	276,00	47,80
GYE	DEUX CHAISES	650,73	73,80	112,60	180,80	243,10	41,40
JARNY	DEUX CHAISES	665,21	76,90	118,50	189,20	248,50	43,60
JOIGNY	DEUX CHAISES	359,22	48,90	74,40	121,20	159,50	26,90
L ISLE-S/LE-DOUBS	DEUX CHAISES	684,82	77,90	120,20	193,20	259,30	44,50
LA BOISSE	DEUX CHAISES	736,85	83,90	129,70	207,50	278,90	48,40
LA BOISSE - MONTLUEL	DEUX CHAISES	715,32	81,50	125,50	198,50	266,30	46,80
LA COTIERE	DEUX CHAISES	721,28	82,30	126,70	202,80	270,60	47,50
LA CROIX-CHALON	DEUX CHAISES	701,67	81,00	125,30	201,10	270,30	46,60
LA FOLIE-B/PARIS	DEUX CHAISES	325,70	34,10	54,50	88,40	117,00	21,50
LAMOTTE-BEUVRON	DEUX CHAISES	187,60	17,40	27,70	45,30	58,80	10,10
LANGRES NORD	DEUX CHAISES	542,22	63,40	96,70	155,40	208,30	35,50
LANGRES SUD	DEUX CHAISES	548,87	64,20	98,10	158,10	211,10	36,20
LE MIROIR	DEUX CHAISES	658,06	75,60	116,50	188,10	251,50	43,10
LES EPRUNES	DEUX CHAISES	445,24	55,90	86,10	139,90	186,20	31,50
MACON NORD	DEUX CHAISES	612,32	72,10	111,10	177,70	237,90	40,90
MACON SUD	DEUX CHAISES	622,65	73,00	112,50	180,10	241,10	41,40
MAGNANT	DEUX CHAISES	465,05	58,00	88,60	143,50	191,50	32,30
MANZAT	DEUX CHAISES	62,32	5,90	8,90	13,40	18,90	3,20
MAROLLES-SUR-SEINE	DEUX CHAISES	396,85	52,40	79,70	129,70	171,70	28,70
MER	DEUX CHAISES	259,90	27,60	43,50	68,20	92,60	16,30
MEUNG SUR LOIRE	DEUX CHAISES	243,40	25,00	39,90	61,10	85,30	15,20
MONT CHOISY	DEUX CHAISES	523,41	64,40	98,90	161,40	213,50	36,40
MONTIGNY-LE-ROI	DEUX CHAISES	562,32	65,10	99,20	160,50	215,10	36,60
MONTLUCON	DEUX CHAISES	41,15	3,30	5,10	8,10	11,80	2,00
MONTMARAULT	DEUX CHAISES	8,58	0,60	0,90	1,50	2,20	0,30
MONTREUIL (REIMS)	DEUX CHAISES	643,41	78,10	117,90	189,40	249,60	43,70
MONTREUIL AUX LIONS	DEUX CHAISES	669,71	80,30	121,20	194,70	257,90	45,30
NEMOURS	DEUX CHAISES	380,76	50,80	77,50	126,50	165,90	28,00
NITRY	DEUX CHAISES	421,52	53,80	82,30	133,60	177,60	29,80
NUITS-ST-GEORGES	DEUX CHAISES	550,62	66,20	101,80	164,60	219,50	37,30
OLIVET	DEUX CHAISES	219,90	22,00	33,80	54,10	72,80	12,90
ORLEANS-CENTRE	DEUX CHAISES	226,30	22,40	35,80	58,60	74,50	13,10
ORLEANS-NORD	DEUX CHAISES	232,30	23,90	37,40	59,50	80,10	14,30
PEROUGES	DEUX CHAISES	704,47	79,90	123,40	197,40	264,40	45,80
PONT D AIN	DEUX CHAISES	679,65	77,40	120,00	193,10	258,30	44,60
POUILLY-EN-AUXOIS	DEUX CHAISES	495,82	61,40	94,40	152,20	203,80	34,30
REIMS EST (TAISSY)	DEUX CHAISES	570,41	70,40	106,90	174,20	229,90	39,20
REIMS NORD (ORMES)	DEUX CHAISES	577,01	71,70	108,70	175,80	232,20	39,70
REIMS OUEST (THILLOIS)	DEUX CHAISES	583,61	72,20	109,40	176,50	234,60	40,20
REIMS SUD	DEUX CHAISES	569,41	70,20	106,40	173,00	228,50	39,10
REPLONGES	DEUX CHAISES	623,17	72,20	111,80	179,70	240,80	41,30
RIOM	DEUX CHAISES	63,41	5,30	8,20	13,10	17,90	3,30
ROBECOURT	DEUX CHAISES	584,28	66,80	102,70	165,20	221,50	37,70
SAINT GENIS	DEUX CHAISES	712,84	76,70	118,20	187,80	251,20	43,60
SAINT MAURICE	DEUX CHAISES	724,82	82,50	127,30	205,50	276,70	47,60
SAINT THIBAULT	DEUX CHAISES	438,82	55,30	84,80	138,20	183,70	31,00
SALBRIS	DEUX CHAISES	168,90	15,60	25,00	40,10	52,50	9,50
SAVIGNY /CLAIRIS	DEUX CHAISES	341,50	44,40	67,30	110,90	144,20	24,40
SEURRE	DEUX CHAISES	562,12	67,40	103,90	166,80	223,20	38,00
SOIRANS	DEUX CHAISES	589,87	69,10	106,00	171,70	228,30	39,40
SOMMESOUS	DEUX CHAISES	502,11	62,20	95,50	155,50	206,20	34,90
ST AMAND-MONTROND	DEUX CHAISES	74,45	6,10	9,40	15,00	21,00	3,80
ST ETIENNE AU TEMPLE	DEUX CHAISES	551,61	66,40	102,10	166,80	221,40	37,60
ST GERMAIN LES VERGNE	DEUX CHAISES	215,32	24,10	36,60	52,50	74,30	14,10
ST GIBRIEN	DEUX CHAISES	530,81	65,40	100,10	163,10	216,20	36,80
ST HILAIRE	DEUX CHAISES	337,30	43,40	66,30	109,10	141,70	24,20
ST JULIEN SANCY	DEUX CHAISES	105,32	10,70	16,40	24,70	34,10	6,20
ST MARTIN-DU-FRESNE	DEUX CHAISES	696,38	80,70	125,20	199,60	268,60	46,60
ST ROMAIN SUR CHER	DEUX CHAISES	207,90	20,20	32,30	51,90	71,00	12,00
ST-DENIS-LES-SENS	DEUX CHAISES	366,96	49,50	75,70	122,90	161,60	27,30
ST-GERMAIN-LAXIS	DEUX CHAISES	428,90	54,80	84,00	136,10	180,40	30,60
STE MENEHOULD	DEUX CHAISES	584,61	68,70	105,90	172,60	229,00	39,10
SYLANS	DEUX CHAISES	705,95	81,40	126,20	201,20	270,70	46,90
THENNELIERES	DEUX CHAISES	450,92	56,70	86,90	139,80	185,70	31,90
TIL CHATEL	DEUX CHAISES	578,92	66,70	101,50	165,00	221,20	37,50
TORVILLIERS	DEUX CHAISES	422,74	54,80	84,00	136,40	180,70	30,60
TOURNUS	DEUX CHAISES	586,82	69,30	106,80	171,50	228,60	39,30
TOURS-C/MONNAIE	DEUX CHAISES	335,00	36,10	58,00	88,30	120,80	21,50
TULLE EST	DEUX CHAISES	189,32	21,60	32,50	47,40	65,00	12,30
TULLE NORD	DEUX CHAISES	197,32	22,40	33,90	48,30	70,20	12,70
URY	DEUX CHAISES	392,59	51,60	78,60	127,80	168,10	28,50
USSEL EST	DEUX CHAISES	129,32	13,60	21,00	31,30	43,90	7,60
USSEL OUEST	DEUX CHAISES	146,32	15,80	23,20	35,10	49,70	9,00
VAL DE SAONE	DEUX CHAISES	733,19	79,30	120,70	195,20	261,80	44,90
VALLEE DE L'AUBE	DEUX CHAISES	477,81	60,10	92,30	149,60	198,80	33,60
VATRY	DEUX CHAISES	506,41	63,00	96,20	155,60	207,70	35,10
VEIGNE	DEUX CHAISES	269,90	26,20	42,60	68,60	90,50	16,40
VERDUN	DEUX CHAISES	642,71	75,30	115,70	186,50	246,50	42,50
VIERZON-EST	DEUX CHAISES	142,20	13,10	20,90	32,40	44,80	8,30
VIERZON-NORD	DEUX CHAISES	147,90	13,40	21,20	34,70	47,00	8,40
VILLE SOUS LAFERTE	DEUX CHAISES	492,72	59,60	91,40	148,60	197,60	33,20
VILLEFRANCHE S/ CHER	DEUX CHAISES	175,40	16,70	26,70	42,70	57,00	10,30
VILLEFRANCHE-LIMAS	DEUX CHAISES	688,62	79,60	122,30	195,80	262,60	45,20
